wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1135.9943,0,0.019333,2.6095e-07,51.669,51.688
1136.0044,0,0.13533,2.6419e-07,52.27,52.405
1136.0144,0,0.15467,2.6743e-07,52.283,52.438
1136.0245,0,0.15466,2.7066e-07,52.293,52.448
1136.0345,0,0.15466,2.739e-07,52.304,52.459
1136.0445,0,0.15467,2.7714e-07,52.315,52.469
1136.0546,0,0.15467,2.8038e-07,52.325,52.48
1136.0646,0,0.15466,2.8361e-07,52.336,52.491
1136.0746,0,0.15467,2.8685e-07,52.347,52.501
1136.0847,0,0.15466,2.9006e-07,52.357,52.512
1136.0947,0,0.15467,2.9322e-07,52.368,52.522
1136.1047,0,0.15466,2.9632e-07,52.378,52.533
1136.1148,0,0.15466,2.9935e-07,52.389,52.544
1136.1248,0,0.15467,3.0231e-07,52.4,52.554
1136.1349,0,0.15467,3.0521e-07,52.41,52.565
1136.1449,0,0.15466,3.0805e-07,52.421,52.576
1136.1549,0,0.15467,3.1082e-07,52.431,52.586
1136.1650,0,0.15466,3.1353e-07,52.442,52.597
1136.1750,0,0.15467,3.1617e-07,52.453,52.607
1136.1850,0,0.15467,3.1875e-07,52.463,52.618
1136.1951,0,0.15466,3.2127e-07,52.474,52.629
1136.2051,0,0.15466,3.2372e-07,52.484,52.639
1136.2151,0,0.15467,3.261e-07,52.495,52.65
1136.2252,0,0.15467,3.2842e-07,52.506,52.66
1136.2352,0,0.15466,3.3068e-07,52.516,52.671
1136.2452,0,0.15467,3.3288e-07,52.527,52.682
1136.2553,0,0.15466,3.35e-07,52.537,52.692
1136.2653,0,0.15467,3.3707e-07,52.548,52.703
1136.2754,0,0.15466,3.3907e-07,52.559,52.713
1136.2854,0,0.15467,3.41e-07,52.569,52.724
1136.2954,0,0.15467,3.4287e-07,52.58,52.734
1136.3055,0,0.15466,3.4468e-07,52.59,52.745
1136.3155,0,0.15467,3.4642e-07,52.601,52.756
1136.3255,0,0.15466,3.481e-07,52.611,52.766
1136.3356,0,0.15467,3.4971e-07,52.622,52.777
1136.3456,0,0.15467,3.5126e-07,52.633,52.787
1136.3556,0,0.15466,3.5274e-07,52.643,52.798
1136.3657,0,0.15466,3.5416e-07,52.654,52.808
1136.3757,0,0.15467,3.5552e-07,52.664,52.819
1136.3858,0,0.15466,3.568e-07,52.675,52.83
1136.3958,0,0.15467,3.5803e-07,52.685,52.84
1136.4058,0,0.15466,3.5919e-07,52.696,52.851
1136.4159,0,0.15466,3.6028e-07,52.707,52.861
1136.4259,0,0.15467,3.6132e-07,52.717,52.872
1136.4359,0,0.15467,3.6228e-07,52.728,52.882
1136.4460,0,0.15466,3.6318e-07,52.738,52.893
1136.4560,0,0.15467,3.6402e-07,52.749,52.903
1136.4660,0,0.15466,3.6479e-07,52.759,52.914
1136.4761,0,0.15467,3.655e-07,52.77,52.925
1136.4861,0,0.15466,3.6614e-07,52.78,52.935
1136.4962,0,0.15467,3.6672e-07,52.791,52.946
1136.5062,0,0.15467,3.6723e-07,52.802,52.956
1136.5162,0,0.15466,3.6767e-07,52.812,52.967
1136.5263,0,0.15467,3.6806e-07,52.823,52.978
1136.5363,0,0.15466,3.6837e-07,52.834,52.988
1136.5463,0,0.15467,3.6863e-07,52.844,52.999
1136.5564,0,0.15467,3.6881e-07,52.855,53.009
1136.5664,0,0.15466,3.6894e-07,52.865,53.02
1136.5764,0,0.15466,3.69e-07,52.876,53.031
1136.5865,0,0.15467,3.6902e-07,52.887,53.041
1136.5965,0,0.15467,3.6904e-07,52.897,53.052
1136.6065,0,0.15466,3.6906e-07,52.908,53.063
1136.6166,0,0.15467,3.6908e-07,52.919,53.073
1136.6266,0,0.15466,3.691e-07,52.929,53.084
1136.6367,0,0.15467,3.6912e-07,52.94,53.094
1136.6467,0,0.15467,3.6915e-07,52.95,53.105
1136.6567,0,0.15466,3.6917e-07,52.961,53.116
1136.6668,0,0.15467,3.6919e-07,52.972,53.126
1136.6768,0,0.15466,3.6921e-07,52.982,53.137
1136.6868,0,0.15467,3.6923e-07,52.993,53.148
1136.6969,0,0.15466,3.6925e-07,53.003,53.158
1136.7069,0,0.15467,3.6927e-07,53.014,53.169
1136.7169,0,0.15467,3.6929e-07,53.025,53.179
1136.7270,0,0.15466,3.6931e-07,53.035,53.19
1136.7370,0,0.15466,3.6933e-07,53.046,53.201
1136.7471,0,0.15467,3.6935e-07,53.056,53.211
1136.7571,0,0.15466,3.6937e-07,53.067,53.222
1136.7671,0,0.15467,3.6939e-07,53.078,53.232
1136.7772,0,0.15466,3.6941e-07,53.088,53.243
1136.7872,0,0.15466,3.6943e-07,53.099,53.254
1136.7972,0,0.15467,3.6945e-07,53.109,53.264
1136.8073,0,0.15467,3.6947e-07,53.12,53.275
1136.8173,0,0.15466,3.6949e-07,53.131,53.285
1136.8273,0,0.15467,3.6951e-07,53.141,53.296
1136.8374,0,0.15466,3.6953e-07,53.152,53.306
1136.8474,0,0.15467,3.6954e-07,53.162,53.317
1136.8574,0,0.15467,3.6956e-07,53.173,53.328
1136.8675,0,0.15466,3.6958e-07,53.184,53.338
1136.8775,0,0.15467,3.696e-07,53.194,53.349
1136.8876,0,0.15467,3.6962e-07,53.205,53.359
1136.8976,0,0.15466,3.6964e-07,53.215,53.37
1136.9076,0,0.15466,3.6966e-07,53.226,53.381
1136.9177,0,0.15467,3.6968e-07,53.236,53.391
1136.9277,0,0.15467,3.697e-07,53.247,53.402
1136.9377,0,0.15466,3.6972e-07,53.258,53.412
1136.9478,0,0.15466,3.6974e-07,53.268,53.423
1136.9578,0,0.15467,3.6976e-07,53.279,53.433
1136.9678,0,0.15467,3.6978e-07,53.289,53.444
1136.9779,0,0.15466,3.698e-07,53.3,53.455
1136.9879,0,0.15467,3.6981e-07,53.31,53.465
1136.9980,0,0.15466,3.6983e-07,53.321,53.476
1137.0080,0,0.15467,3.6985e-07,53.331,53.486
1137.0180,0,0.15467,3.6987e-07,53.342,53.496
1137.0281,0,0.15466,3.6989e-07,53.352,53.506
1137.0381,0,0.15466,3.6991e-07,53.362,53.517
1137.0481,0,0.15467,3.6993e-07,53.372,53.527
1137.0582,0,0.15466,3.6995e-07,53.383,53.537
1137.0682,0,0.15467,3.6996e-07,53.393,53.548
1137.0782,0,0.15466,3.6998e-07,53.403,53.558
1137.0883,0,0.15467,3.7e-07,53.413,53.568
1137.0983,0,0.15467,3.7002e-07,53.424,53.578
