wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1150.0000,0,0.4725,1.6361e-11,0.14433,0.61683
1150.0125,0,0.4725,2.0264e-11,0.2677,0.7402
1150.0250,0,0.4725,2.4723e-11,0.26764,0.74014
1150.0375,0,0.4725,2.8878e-11,0.26758,0.74008
1150.0500,0,0.4725,3.0967e-11,0.26753,0.74003
1150.0625,0,0.4725,3.121e-11,0.26747,0.73997
1150.0750,0,0.4725,3.1195e-11,0.26741,0.73991
1150.0875,0,0.4725,3.118e-11,0.26735,0.73985
1150.1000,0,0.4725,3.1164e-11,0.26729,0.73979
1150.1125,0,0.4725,3.1149e-11,0.26723,0.73973
1150.1250,0,0.4725,3.1134e-11,0.26718,0.73968
1150.1375,0,0.4725,3.1119e-11,0.26712,0.73962
1150.1500,0,0.4725,3.1104e-11,0.26706,0.73956
1150.1625,0,0.4725,3.1089e-11,0.267,0.7395
1150.1750,0,0.4725,3.1074e-11,0.26694,0.73944
1150.1875,0,0.4725,3.1059e-11,0.26688,0.73938
1150.2000,0,0.4725,3.1044e-11,0.26682,0.73932
1150.2125,0,0.4725,3.1029e-11,0.26676,0.73926
1150.2250,0,0.4725,3.1013e-11,0.2667,0.7392
1150.2375,0,0.4725,3.0998e-11,0.26664,0.73914
1150.2500,0,0.4725,3.0983e-11,0.26658,0.73908
1150.2625,0,0.4725,3.0968e-11,0.26653,0.73903
1150.2750,0,0.4725,3.0953e-11,0.26647,0.73897
1150.2875,0,0.4725,3.0938e-11,0.26641,0.73891
1150.3001,0,0.4725,3.0922e-11,0.26635,0.73885
1150.3126,0,0.4725,3.0907e-11,0.26629,0.73879
1150.3251,0,0.4725,3.0892e-11,0.26623,0.73873
1150.3376,0,0.4725,3.0877e-11,0.26617,0.73867
1150.3501,0,0.4725,3.0862e-11,0.26611,0.73861
1150.3626,0,0.4725,3.0848e-11,0.26604,0.73854
1150.3751,0,0.4725,3.084e-11,0.26598,0.73848
1150.3876,0,0.4725,3.0842e-11,0.26592,0.73842
