wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1150.0000,0,0.4725,1.6607e-11,0.17741,0.64991
1150.0125,0,0.4725,2.0568e-11,0.32905,0.80155
1150.0250,0,0.4725,2.5094e-11,0.32897,0.80147
1150.0375,0,0.4725,2.9311e-11,0.3289,0.8014
1150.0500,0,0.4725,3.1432e-11,0.32883,0.80133
1150.0625,0,0.4725,3.1678e-11,0.32876,0.80126
1150.0750,0,0.4725,3.1663e-11,0.32869,0.80119
1150.0875,0,0.4725,3.1647e-11,0.32861,0.80111
1150.1000,0,0.4725,3.1632e-11,0.32854,0.80104
1150.1125,0,0.4725,3.1617e-11,0.32847,0.80097
1150.1250,0,0.4725,3.1601e-11,0.32839,0.80089
1150.1375,0,0.4725,3.1586e-11,0.32832,0.80082
1150.1500,0,0.4725,3.1571e-11,0.32825,0.80075
1150.1625,0,0.4725,3.1555e-11,0.32817,0.80067
1150.1750,0,0.4725,3.154e-11,0.3281,0.8006
1150.1875,0,0.4725,3.1525e-11,0.32803,0.80053
1150.2000,0,0.4725,3.1509e-11,0.32795,0.80045
1150.2125,0,0.4725,3.1494e-11,0.32788,0.80038
1150.2250,0,0.4725,3.1479e-11,0.32781,0.80031
1150.2375,0,0.4725,3.1463e-11,0.32773,0.80023
1150.2500,0,0.4725,3.1448e-11,0.32766,0.80016
1150.2625,0,0.4725,3.1433e-11,0.32758,0.80008
1150.2750,0,0.4725,3.1417e-11,0.32751,0.80001
1150.2875,0,0.4725,3.1402e-11,0.32743,0.79993
1150.3001,0,0.4725,3.1386e-11,0.32736,0.79986
1150.3126,0,0.4725,3.1371e-11,0.32728,0.79978
1150.3251,0,0.4725,3.1356e-11,0.32721,0.79971
1150.3376,0,0.4725,3.134e-11,0.32713,0.79963
1150.3501,0,0.4725,3.1325e-11,0.32706,0.79956
1150.3626,0,0.4725,3.1311e-11,0.32698,0.79948
1150.3751,0,0.4725,3.1303e-11,0.32691,0.79941
1150.3876,0,0.4725,3.1305e-11,0.32683,0.79933
1150.4001,0,0.4725,3.1316e-11,0.32679,0.79929
1150.4126,0,0.4725,3.1337e-11,0.32724,0.79974
1150.4251,0,0.4725,3.1367e-11,0.32786,0.80036
1150.4376,0,0.4725,3.1407e-11,0.32849,0.80099
1150.4501,0,0.4725,3.1456e-11,0.32911,0.80161
1150.4626,0,0.4725,3.1507e-11,0.32974,0.80224
1150.4751,0,0.4725,3.1559e-11,0.33037,0.80287
1150.4876,0,0.4725,3.161e-11,0.331,0.8035
1150.5001,0,0.4725,3.1662e-11,0.33162,0.80412
1150.5126,0,0.4725,3.1713e-11,0.33225,0.80475
1150.5252,0,0.4725,3.1765e-11,0.33288,0.80538
1150.5377,0,0.4725,3.1817e-11,0.33351,0.80601
1150.5502,0,0.4725,3.1868e-11,0.33414,0.80664
1150.5627,0,0.4725,3.192e-11,0.33477,0.80727
1150.5752,0,0.4725,3.1972e-11,0.3354,0.8079
1150.5877,0,0.4725,3.2023e-11,0.33603,0.80853
1150.6002,0,0.4725,3.2075e-11,0.33666,0.80916
1150.6127,0,0.4725,3.2127e-11,0.33729,0.80979
1150.6252,0,0.4725,3.2178e-11,0.33793,0.81043
1150.6377,0,0.4725,3.223e-11,0.33856,0.81106
1150.6502,0,0.4725,3.2282e-11,0.33919,0.81169
1150.6627,0,0.4725,3.2334e-11,0.33982,0.81232
1150.6753,0,0.4725,3.2385e-11,0.34046,0.81296
1150.6878,0,0.4725,3.2437e-11,0.34109,0.81359
1150.7003,0,0.4725,3.2489e-11,0.34172,0.81422
1150.7128,0,0.4725,3.254e-11,0.34236,0.81486
1150.7253,0,0.4725,3.2592e-11,0.34299,0.81549
1150.7378,0,0.4725,3.2644e-11,0.34363,0.81613
1150.7503,0,0.4725,3.2696e-11,0.34427,0.81677
1150.7628,0,0.4725,3.2748e-11,0.3449,0.8174
1150.7753,0,0.4725,3.2799e-11,0.34554,0.81804
1150.7878,0,0.4725,3.2851e-11,0.34618,0.81868
1150.8004,0,0.4725,3.2903e-11,0.34681,0.81931
1150.8129,0,0.4725,3.2955e-11,0.34745,0.81995
1150.8254,0,0.4725,3.3006e-11,0.34809,0.82059
1150.8379,0,0.4725,3.3058e-11,0.34873,0.82123
1150.8504,0,0.4725,3.311e-11,0.34937,0.82187
1150.8629,0,0.4725,3.3164e-11,0.35001,0.82251
1150.8754,0,0.4725,3.3225e-11,0.35065,0.82315
1150.8879,0,0.4725,3.3299e-11,0.35129,0.82379
1150.9005,0,0.4725,3.3384e-11,0.35197,0.82447
1150.9130,0,0.4725,3.3481e-11,0.35328,0.82578
