wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1194.5000,0,0.7425,3.2588e-09,67.103,67.846
1194.5500,0,0.7425,3.5703e-09,71.657,72.4
1194.6000,0,0.7425,3.9257e-09,71.74,72.482
1194.6500,0,0.7425,4.2804e-09,71.822,72.564
1194.7000,0,0.7425,4.6343e-09,71.904,72.647
1194.7500,0,0.7425,4.9875e-09,71.986,72.729
1194.8000,0,0.7425,5.3399e-09,72.069,72.811
1194.8500,0,0.7425,5.6917e-09,72.151,72.894
1194.9000,0,0.7425,6.0427e-09,72.234,72.976
1194.9500,0,0.7425,6.3504e-09,72.316,73.059
1195.0000,0,0.7425,6.3999e-09,72.399,73.141
1195.0500,0,0.7425,6.3897e-09,72.481,73.224
1195.1000,0,0.7425,6.3766e-09,72.564,73.307
1195.1500,0,0.7425,6.3635e-09,72.647,73.389
1195.2000,0,0.7425,6.3504e-09,72.73,73.472
1195.2500,0,0.7425,6.3372e-09,72.813,73.555
1195.3000,0,0.7425,6.324e-09,72.895,73.638
1195.3500,0,0.7425,6.3107e-09,72.978,73.721
1195.4000,0,0.7425,6.2975e-09,73.061,73.804
1195.4500,0,0.7425,6.2841e-09,73.144,73.887
1195.5000,0,0.7425,6.2708e-09,73.227,73.97
1195.5500,0,0.7425,6.2573e-09,73.311,74.053
1195.6000,0,0.7425,6.2439e-09,73.394,74.136
1195.6500,0,0.7425,6.2304e-09,73.477,74.219
1195.7000,0,0.7425,6.2169e-09,73.56,74.303
1195.7500,0,0.7425,6.2033e-09,73.644,74.386
1195.8000,0,0.7425,6.1897e-09,73.727,74.469
1195.8500,0,0.7425,6.1761e-09,73.81,74.553
1195.9000,0,0.7425,6.1624e-09,73.894,74.636
1195.9500,0,0.7425,6.1487e-09,73.977,74.72
1196.0000,0,0.7425,6.1349e-09,74.061,74.803
1196.0500,0,0.7425,6.1211e-09,74.145,74.887
1196.1000,0,0.7425,6.1072e-09,74.228,74.971
1196.1500,0,0.7425,6.0934e-09,74.312,75.054
1196.2000,0,0.7425,6.0794e-09,74.396,75.138
1196.2500,0,0.7425,6.0655e-09,74.479,75.222
1196.3000,0,0.7425,6.0515e-09,74.563,75.306
1196.3500,0,0.7425,6.0374e-09,74.647,75.39
