wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1150.5000,0,0.7425,1.9946e-08,205.26,206
1151.1000,0,0.7425,2.4022e-08,222.71,223.45
1151.7000,0,0.7425,2.8875e-08,240.8,241.54
1152.3000,0,0.7425,3.3932e-08,259.5,260.24
1152.9000,0,0.7425,3.8755e-08,278.49,279.23
1153.5000,0,0.7425,4.118e-08,296.94,297.68
1154.1000,0,0.7425,4.3111e-08,315.23,315.97
1154.7000,0,0.7425,4.4913e-08,331.89,332.64
1155.3000,0,0.7425,4.6573e-08,348.11,348.86
1155.9000,0,0.7425,4.8081e-08,362.53,363.27
1156.5000,0,0.7425,4.9443e-08,376.55,377.29
1157.1000,0,0.7425,5.0664e-08,389.27,390.02
1157.7000,0,0.7425,5.177e-08,401.77,402.51
1158.3000,0,0.7425,5.2774e-08,413.5,414.24
1158.9000,0,0.7425,5.3704e-08,425.19,425.93
1159.5000,0,0.7425,5.4574e-08,436.63,437.37
1160.1000,0,0.7425,5.5403e-08,448.26,449
1160.7000,0,0.7425,5.6198e-08,460.05,460.8
1161.3000,0,0.7425,5.6969e-08,472.07,472.81
1161.9000,0,0.7425,5.7717e-08,484.39,485.13
1162.5000,0,0.7425,5.8446e-08,496.87,497.61
1163.1000,0,0.7425,5.915e-08,509.49,510.23
1163.7000,0,0.7425,5.9827e-08,522.17,522.91
1164.3000,0,0.7425,6.0472e-08,534.87,535.61
1164.9000,0,0.7425,6.1079e-08,547.51,548.26
1165.5000,0,0.7425,6.1646e-08,560.08,560.82
1166.1000,0,0.7425,6.2169e-08,572.52,573.26
1166.7000,0,0.7425,6.2648e-08,584.86,585.6
1167.3000,0,0.7425,6.3083e-08,597.07,597.82
1167.9000,0,0.7425,6.3472e-08,609.22,609.96
1168.5000,0,0.7425,6.3814e-08,621.23,621.97
1169.1000,0,0.7425,6.4112e-08,633.2,633.94
1169.7000,0,0.7425,6.4367e-08,645.29,646.03
1170.3000,0,0.7425,6.458e-08,657.43,658.17
1170.9000,0,0.7425,6.4752e-08,669.72,670.46
1171.5000,0,0.7425,6.4884e-08,682.23,682.98
1172.1000,0,0.7425,6.4976e-08,694.66,695.4
1172.7000,0,0.7425,6.5029e-08,707.12,707.86
1173.3000,0,0.7425,6.5044e-08,719.51,720.25
1173.9000,0,0.7425,6.5024e-08,731.94,732.69
1174.5000,0,0.7425,6.4967e-08,744.32,745.06
1175.1000,0,0.7425,6.4876e-08,756.75,757.5
1175.7000,0,0.7425,6.475e-08,769.14,769.88
1176.3000,0,0.7425,6.4589e-08,781.59,782.34
1176.9000,0,0.7425,6.4395e-08,794.01,794.75
1177.5000,0,0.7425,6.4169e-08,806.5,807.24
1178.1000,0,0.7425,6.391e-08,818.97,819.71
1178.7000,0,0.7425,6.3618e-08,831.52,832.26
1179.3000,0,0.7425,6.3293e-08,844.06,844.8
1179.9000,0,0.7425,6.2937e-08,856.81,857.55
1180.5000,0,0.7425,6.255e-08,869.47,870.21
1181.1000,0,0.7425,6.2132e-08,882.06,882.81
1181.7000,0,0.7425,6.1684e-08,894.81,895.55
1182.3000,0,0.7425,6.1205e-08,907.66,908.4
1182.9000,0,0.7425,6.0695e-08,920.55,921.29
1183.5000,0,0.7425,6.0155e-08,933.54,934.28
1184.1000,0,0.7425,5.9586e-08,946.6,947.34
1184.7000,0,0.7425,5.8987e-08,959.76,960.5
1185.3000,0,0.7425,5.8358e-08,973,973.74
1185.9000,0,0.7425,5.7697e-08,986.34,987.08
1186.5000,0,0.7425,5.7006e-08,999.75,1000.5
1187.1000,0,0.7425,5.6284e-08,1013.2,1014
1187.7000,0,0.7425,5.553e-08,1026.8,1027.5
1188.3000,0,0.7425,5.4741e-08,1040.3,1041.1
1188.9000,0,0.7425,5.3917e-08,1053.9,1054.6
1189.5000,0,0.7425,5.3058e-08,1067.8,1068.5
1190.1000,0,0.7425,5.2163e-08,1081.6,1082.3
1190.7000,0,0.7425,5.1232e-08,1094.5,1095.3
1191.3000,0,0.7425,5.0264e-08,1108,1108.7
1191.9000,0,0.7425,4.9258e-08,1121.3,1122.1
1192.5000,0,0.7425,4.8214e-08,1134.7,1135.4
1193.1000,0,0.7425,4.7132e-08,1147.8,1148.5
1193.7000,0,0.7425,4.6014e-08,1160.9,1161.6
1194.3000,0,0.7425,4.4861e-08,1173.7,1174.5
1194.9000,0,0.7425,4.3671e-08,1186.5,1187.3
1195.5000,0,0.7425,4.2446e-08,1199.1,1199.8
1196.1000,0,0.7425,4.1187e-08,1211.6,1212.4
1196.7000,0,0.7425,3.9894e-08,1224.1,1224.8
1197.3000,0,0.7425,3.858e-08,1236.5,1237.2
1197.9000,0,0.7425,3.7318e-08,1248.8,1249.5
1198.5000,0,0.7425,3.6183e-08,1261.2,1261.9
1199.1000,0,0.7425,3.5188e-08,1273.5,1274.3
1199.7000,0,0.7425,3.4339e-08,1286,1286.7
1200.3000,0,0.7425,3.3637e-08,1297.1,1297.8
1200.9000,0,0.7425,3.3088e-08,1306.7,1307.4
1201.5000,0,0.7425,3.2694e-08,1316.5,1317.2
1202.1000,0,0.7425,3.2458e-08,1326.3,1327.1
1202.7000,0,0.7425,3.2374e-08,1336.4,1337.1
1203.3000,0,0.7425,3.2372e-08,1346.6,1347.3
1203.9000,0,0.7425,3.238e-08,1357,1357.7
1204.5000,0,0.7425,3.239e-08,1367.5,1368.3
1205.1000,0,0.7425,3.24e-08,1378.3,1379
1205.7000,0,0.7425,3.2412e-08,1389.2,1389.9
1206.3000,0,0.7425,3.2423e-08,1400.3,1401
1206.9000,0,0.7425,3.2436e-08,1411.5,1412.2
1207.5000,0,0.7425,3.2448e-08,1422.9,1423.6
1208.1000,0,0.7425,3.2461e-08,1434.4,1435.2
1208.7000,0,0.7425,3.2473e-08,1446.1,1446.9
1209.3000,0,0.7425,3.2485e-08,1457.9,1458.7
1209.9000,0,0.7425,3.2497e-08,1469.9,1470.6
1210.5000,0,0.7425,3.2508e-08,1482,1482.7
1211.1000,0,0.7425,3.2519e-08,1494.2,1495
1211.7000,0,0.7425,3.2529e-08,1506.6,1507.3
1212.3000,0,0.7425,9.0177e-08,1519,1519.8
1212.9000,0,0.7425,13.646,1531.6,1546
1213.5000,0,0.7425,95.519,1544.3,1640.5
1214.1000,0,0.7425,109.16,1557.1,1667
1214.7000,0,0.7425,109.16,1569.9,1679.9
1215.3000,0,0.7425,109.16,1582.9,1692.8
1215.9000,0,0.7425,109.16,1596,1705.9
1216.5000,0,0.7425,109.16,1609.1,1719
1217.1000,0,0.7425,109.16,1622.4,1732.3
1217.7000,0,0.7425,109.16,1635.7,1745.6
1218.3000,0,0.7425,95.519,1649,1745.3
1218.9000,0,0.7425,13.646,1662.4,1676.8
1219.5000,0,0.7425,3.251e-08,1675.9,1676.7
1220.1000,0,0.7425,3.2493e-08,1689.5,1690.3
1220.7000,0,0.7425,3.2474e-08,1703.1,1703.8
1221.3000,0,0.7425,3.2452e-08,1716.7,1717.4
1221.9000,0,0.7425,3.2427e-08,1730.3,1731.1
1222.5000,0,0.7425,3.2399e-08,1744,1744.8
1223.1000,0,0.7425,3.2367e-08,1757.8,1758.5
1223.7000,0,0.7425,3.2333e-08,1771.5,1772.2
1224.3000,0,0.7425,3.2295e-08,1785.3,1786
1224.9000,0,0.7425,3.2254e-08,1799,1799.8
1225.5000,0,0.7425,3.2209e-08,1812.8,1813.6
1226.1000,0,0.7425,3.216e-08,1826.6,1827.3
1226.7000,0,0.7425,3.2108e-08,1840.4,1841.1
1227.3000,0,0.7425,3.2052e-08,1854.1,1854.9
1227.9000,0,0.7425,3.1992e-08,1867.9,1868.6
1228.5000,0,0.7425,3.1928e-08,1881.6,1882.3
1229.1000,0,0.7425,3.1861e-08,1895.3,1896.1
1229.7000,0,0.7425,3.1789e-08,1909.1,1909.8
1230.3000,0,0.7425,3.1713e-08,1922.7,1923.4
1230.9000,0,0.7425,3.1632e-08,1936.2,1936.9
1231.5000,0,0.7425,3.1548e-08,1949.8,1950.5
1232.1000,0,0.7425,3.1459e-08,1963.3,1964
1232.7000,0,0.7425,3.1366e-08,1976.7,1977.5
1233.3000,0,0.7425,3.1268e-08,1990.1,1990.8
1233.9000,0,0.7425,3.1166e-08,2003.4,2004.1
1234.5000,0,0.7425,3.106e-08,2016.6,2017.4
1235.1000,0,0.7425,3.0949e-08,2029.8,2030.5
1235.7000,0,0.7425,3.0834e-08,2042.8,2043.6
1236.3000,0,0.7425,3.0714e-08,2055.8,2056.6
1236.9000,0,0.7425,3.059e-08,2068.7,2069.4
1237.5000,0,0.7425,3.0461e-08,2081.5,2082.2
1238.1000,0,0.7425,3.0328e-08,2094.2,2094.9
1238.7000,0,0.7425,3.019e-08,2106.7,2107.5
1239.3000,0,0.7425,3.0047e-08,2119.2,2119.9
1239.9000,0,0.7425,2.99e-08,2131.7,2132.4
1240.5000,0,0.7425,2.9748e-08,2143.8,2144.5
1241.1000,0,0.7425,2.9592e-08,2155.7,2156.5
1241.7000,0,0.7425,2.9431e-08,2167.7,2168.4
1242.3000,0,0.7425,2.9266e-08,2179.4,2180.1
1242.9000,0,0.7425,2.9095e-08,2191,2191.8
1243.5000,0,0.7425,2.8921e-08,2202.5,2203.2
1244.1000,0,0.7425,2.8741e-08,2213.8,2214.5
1244.7000,0,0.7425,2.8557e-08,2224.9,2225.6
1245.3000,0,0.7425,2.8369e-08,2235.8,2236.6
1245.9000,0,0.7425,2.8176e-08,2246.2,2247
1246.5000,0,0.7425,2.7978e-08,2256,2256.7
1247.1000,0,0.7425,2.7777e-08,2265.4,2266.1
1247.7000,0,0.7425,2.757e-08,2274.7,2275.5
