# from https://www.stsci.edu/hst/instrumentation/focus-and-pointing/fov-geometry
# Aperture  ProposalID   Xref      Yref     V2ref     V3ref    Xscale    Yscale    Betax    Betay
#                          pixels            arc-seconds         arcsec/pixel         degrees
#
OFUV                       1040.66   1041.68 -213.6796 -224.8351  0.012371  0.012371   45.0000  135.0000
ONUV                       1040.65   1041.67 -213.6796 -224.8351  0.012375  0.012375   45.0000  135.0000
OVIS                        537.00    516.00 -213.6796 -224.8351  0.050763  0.050777   45.0559  135.0559
OF25        25MAMA         1040.66   1041.68 -213.6796 -224.8351  0.012371  0.012371   45.0000  135.0000
ON25        25MAMA         1040.65   1041.67 -213.6796 -224.8351  0.012375  0.012375   45.0000  135.0000
OF25LYA     F25LYA         1040.66   1041.68 -213.6198 -224.7753  0.012371  0.012371   45.0000  135.0000
OF25QTZ     F25QTZ         1040.66   1041.68 -213.6313 -224.7869  0.012371  0.012371   45.0000  135.0000
ON25QTZ     F25QTZ         1040.65   1041.67 -213.6353 -224.7908  0.012375  0.012375   45.0000  135.0000
ON25CN182   F25CN182       1040.65   1041.67 -213.6309 -224.7864  0.012375  0.012375   45.0000  135.0000
ON25C3      F25CIII        1040.65   1041.67 -213.6316 -224.7871  0.012375  0.012375   45.0000  135.0000
ON25MG2     F25MGII        1040.65   1041.67 -213.6356 -224.7912  0.012375  0.012375   45.0000  135.0000
OF25SRF2    F25SRF2        1040.66   1041.68 -213.6298 -224.7853  0.012371  0.012371   45.0000  135.0000
ON25SRF2    F25SRF2        1040.65   1041.67 -213.6353 -224.7908  0.012375  0.012375   45.0000  135.0000
OF25NDQ1    F25NDQ1         396.65   1512.73 -215.0832 -234.4516  0.012371  0.012371   45.0000  135.0000
OF25NDQ2    F25NDQ2        1423.01   1505.49 -206.2802 -225.5223  0.012371  0.012371   45.0000  135.0000
OF25NDQ3    F25NDQ3        1370.05    508.74 -215.4268 -217.2906  0.012371  0.012371   45.0000  135.0000
OF25NDQ4    F25NDQ4         389.42    495.42 -224.0139 -225.6458  0.012371  0.012371   45.0000  135.0000
ON25NDQ1    F25NDQ1         396.91   1512.59 -215.0854 -234.4537  0.012375  0.012375   45.0000  135.0000
ON25NDQ2    F25NDQ2        1422.85   1505.35 -206.2824 -225.5244  0.012375  0.012375   45.0000  135.0000
ON25NDQ3    F25NDQ3        1369.91    508.89 -215.4290 -217.2928  0.012375  0.012375   45.0000  135.0000
ON25NDQ4    F25NDQ4         389.68    495.58 -224.0161 -225.6479  0.012375  0.012375   45.0000  135.0000
OV25NDQ1    F25NDQ1         382.12    630.52 -215.0916 -234.4600  0.050763  0.050777   45.0559  135.0559
OV25NDQ2    F25NDQ2         629.12    628.52 -206.2887 -225.5307  0.050763  0.050777   45.0559  135.0559
OV25NDQ3    F25NDQ3         616.14    386.53 -215.4352 -217.2990  0.050763  0.050777   45.0559  135.0559
OV25NDQ4    F25NDQ4         380.14    383.53 -224.0223 -225.6542  0.050763  0.050777   45.0559  135.0559
ON25CN270   F25CN270       1040.65   1041.67 -213.6354 -224.7909  0.012375  0.012375   45.0000  135.0000
OV50        50CCD           537.00    516.00 -213.6796 -224.8351  0.050763  0.050777   45.0559  135.0559
OF2X2       2X2            1052.36   1041.69 -213.5784 -224.7341  0.012371  0.012371   45.0000  135.0000
ON2X2       2X2            1052.35   1041.68 -213.5784 -224.7341  0.012375  0.012375   45.0000  135.0000
OV2X2       2X2             539.81    516.00 -213.5784 -224.7341  0.050763  0.050777   45.0559  135.0559
OF36X050P   36X0.05P45     1042.63   1041.68 -213.6625 -224.8181  0.012371  0.012371   45.0000  135.0000
