,target,lya,fuv,e140m,RA,DEC
0,G9-40,A0,N0,,08 58 52.3297,+21 04 34.20
1,GJ143,A1,N1,,03 26 59.2226,-63 29 56.76
2,GJ357,,,A2,09 36 1.6372,-21 39 38.88
3,HD109833,A3,N3,,12 39 6.4022,-74 34 26.37
4,HD110067,A4,N4,,12 39 21.5036,+20 01 40.03
5,HD15906,A6,N6,,02 33 5.2824,-10 21 6.41
6,HD183579,A7,N7,,19 33 8.5946,-54 31 56.54
7,HD191939,A8,,,20 08 5.7551,+66 51 2.08
8,HD207496,A9,N9,,21 54 51.3012,-77 20 16.79
9,HD207897,B0,O0,,21 40 44.7823,+84 20 0.56
10,HD235088,B1,O1,,20 02 27.4229,+53 22 36.54
11,HD332231,B2,O2,,20 26 57.9179,+33 44 40.03
12,HD63935,B3,O3,,07 51 41.9964,+09 23 9.79
13,HIP113103,B4,O4,,22 54 17.3682,-43 00 37.25
14,HIP9618,B5,O5,,02 03 37.0252,+21 16 51.11
15,HR858,B6,O6,,02 51 56.2461,-30 48 52.26
16,K2-136,B7,O7,,04 29 38.9939,+22 52 57.79
17,KELT-24,B8,O8,,10 47 38.3506,+71 39 21.15
18,Kepler-37,B9,O9,,,
19,LTT3780,C1,,,10 18 35.1372,-11 43 0.24
20,TOI-1136,C2,P2,,12 48 44.3726,+64 51 19.15
21,TOI-1266,C3,P3,,13 11 59.5600,+65 50 1.70
22,TOI-1468,C4,,,01 06 36.9754,+19 13 33.16
23,TOI-1695,,,C5,01 27 40.9728,+72 17 47.19
24,TOI-1710,C6,P6,,06 17 7.8623,+76 12 38.81
25,TOI-1759,,,C7,21 47 24.7901,+62 45 13.90
26,TOI-1801,C8,P8,,11 42 18.3739,+23 01 36.67
27,TOI-2018,C9,P9,,15 19 21.1530,+29 12 22.23
28,TOI-2095,D0,Q0,,19 02 31.9305,+75 25 6.98
29,TOI-2134,D1,Q1,,18 07 44.4477,+39 04 26.92
30,TOI-2136,D2,Q2,,18 44 42.3658,+36 33 44.53
31,TOI-2141,D3,Q3,,17 15 2.9060,+18 20 26.76
32,TOI-244,D4,Q4,,00 42 16.9405,-36 43 5.41
33,TOI-2443,D5,Q5,,02 40 42.8731,+01 11 55.24
34,TOI-2459,D6,Q6,,05 28 34.2813,-39 22 23.23
35,TOI-257,D7,Q7,,03 10 3.9822,-50 49 56.58
36,HD22946,D8,Q8,,03 39 16.7617,-42 45 45.18
37,TOI-444,D9,Q9,,04 16 44.1893,-26 45 57.26
38,TOI-540,,,E0,05 05 14.4284,-47 56 15.53
39,TOI-620,,,E1,09 28 41.5890,-12 09 55.75
40,TOI-700,E2,,,06 28 23.2285,-65 34 45.52
41,TOI-712,E3,R3,,06 11 44.6726,-65 49 33.50
42,TOI-836,E4,,,15 00 19.3983,-24 27 14.69
43,Wolf503,E5,R5,,,
44,TOI-1063,E6,R6,,15 22 14.0814,-83 03 22.22
45,TOI-1154,E7,R7,,16 59 41.7846,+64 41 56.80
46,TOI-119,E8,R8,,06 36 57.1204,-58 00 54.97
47,TOI-1203,E9,R9,,11 12 54.0496,-34 24 24.28
48,TOI-1247,F0,S0,,15 11 28.9138,+71 50 27.42
49,TOI-1434,F1,S1,,11 45 31.3382,+65 32 27.54
50,TOI-1451,F2,S2,,12 26 5.8397,+61 15 32.56
51,TOI-1643,F3,S3,,18 09 3.5049,+53 13 3.48
52,TOI-1648,F4,S4,,03 01 36.2358,+69 13 47.64
53,TOI-1718,F5,S5,,07 28 4.3526,+30 19 20.65
54,TOI-1730,,,F6,07 11 27.9426,+48 19 49.40
55,TOI-1742,F7,S7,,17 09 18.8472,+71 52 35.04
56,TOI-1776,F8,S8,,10 59 6.2560,+40 59 0.99
57,TOI-1777,F9,S9,,10 07 13.6886,+46 06 53.91
58,TOI-1799,G0,T0,,11 08 55.9108,+34 18 11.48
59,TOI-1898,G1,T1,,09 38 13.3445,+23 32 48.93
60,TOI-204,G2,T2,,00 51 54.0620,-59 20 34.82
61,TOI-2128,G3,T3,,17 07 55.8294,+32 06 19.74
62,TOI-213,G4,T4,,02 35 32.7828,-71 37 26.98
63,TOI-214,G5,T5,,06 37 50.5715,-70 55 57.41
64,TOI-2540,,,G6,05 30 14.0042,-42 41 50.38
65,TOI-283,G7,T7,,07 54 16.7102,-65 26 29.58
66,TOI-286,G8,T8,,06 03 56.0652,-60 39 58.75
67,TOI-3353,G9,T9,,07 06 7.1805,-75 49 11.01
68,TOI-4189,H0,U0,,05 25 23.7977,-44 25 50.92
69,TOI-4443,H1,U1,,18 17 4.5357,+21 54 33.96
70,TOI-4451,H2,U2,,18 19 2.4977,+34 02 42.35
71,TOI-458,H3,U3,,02 36 32.5879,-22 14 42.41
72,TOI-4602,H4,U4,,04 02 24.2191,+31 19 50.39
73,TOI-4626,H5,U5,,13 42 3.5179,-48 27 56.90
74,TOI-4631,H6,U6,,09 10 5.7254,+75 36 39.17
75,TOI-480,H7,U7,,05 53 30.8773,-16 15 54.04
76,TOI-5169,H8,U8,,10 19 28.5835,+06 34 58.70
77,TOI-5388,H9,U9,,10 08 42.1197,+35 32 49.14
78,TOI-554,I0,V0,,04 02 59.5066,+09 12 30.53
79,TOI-5734,I1,V1,,07 25 1.4322,+37 13 51.81
80,TOI-5789,I2,V2,,20 11 6.0739,+16 11 16.79
81,TOI-6599,,,I3,13 43 41.4867,-40 02 29.22
82,TOI-6673,I4,V4,,11 29 1.7203,+63 34 24.52
83,TOI-6676,I5,V5,,00 59 36.3454,-01 19 34.98
84,TOI-757,I6,V6,,12 31 58.7013,-35 33 17.69
85,TOI-815,I7,V7,,10 23 29.2522,-43 50 5.84
86,TOI-880,I8,V8,,06 16 39.4726,-13 59 14.77
87,TOI-904,I9,V9,,05 57 29.3542,-83 07 48.73
88,HD60779,J0,W0,,07 36 1.4304,-03 09 6.38
89,HD219134,,W1,,23 13 16.9749,+57 10 6.08
90,HD63433,,W2,,07 49 55.0606,+27 21 47.46
91,TOI-1774,J3,W3,,09 52 38.5289,+35 06 41.96
92,HD73583,,W4,,08 38 45.2603,-13 15 24.09
93,HIP94235,,W5,,19 10 57.8503,-60 16 19.93
94,K2-18,,W6,,11 30 14.5177,+07 35 18.25
95,TOI-1231,,,W7,10 26 59.4940,-52 28 9.94
96,TOI-2076,,W8,,14 29 34.2426,+39 47 25.54
97,HIP42403,J9,W9,,08 38 45.5205,+23 41 9.26
98,TOI-431,K0,,,05 33 4.6005,-26 43 28.27
99,TOI-2194,K1,X1,,19 56 37.0263,-31 20 7.14
100,TOI-421,K2,,,05 27 24.8258,-14 16 37.05
101,TOI-198,,,X3,00 09 4.3584,-27 07 19.68
102,HD95338,K4,X4,,10 59 26.3040,-56 37 22.95
103,TOI-262,K5,X5,,02 10 8.0354,-31 04 11.53
104,HD5278,K6,X6,,00 50 9.9045,-83 44 38.03
105,HD23472,K7,X7,,03 41 50.3987,-62 46 1.48
106,HD18599,K8,X8,,02 57 2.9515,-56 11 31.51
107,K2-233,K9,X9,,15 21 55.1983,-20 13 53.99
108,HAT-P-20,L0,Y0,,07 27 39.9488,+24 20 11.52
109,TOI-251,L1,Y1,,23 32 14.8377,-37 15 21.13
110,HD17156,L2,Y2,,02 49 44.4871,+71 45 11.63
111,TOI-1824,L3,Y3,,13 10 55.4849,+61 44 41.20
112,TOI-1630,L4,Y4,,23 28 4.0239,+75 33 9.92
