tic_id,hostname,hostname_file,hostname_hst
47667,TOI-6560,toi-6560,TOI-6560
677945,K2-128,k2-128,K2-128
709015,K2-279,k2-279,K2-279
743941,K2-292,k2-292,K2-292
1003831,TOI-564,toi-564,TOI-564
1018843,TOI-2673,toi-2673,TOI-2673
1129033,WASP-77 A,wasp-77a,WASP-77A
1167538,TOI-2447,toi-2447,TOI-2447
2468648,K2-129,k2-129,K2-129
2507547,TOI-6458,toi-6458,TOI-6458
2521105,Qatar-2,qatar-2,QATAR-2
2621212,K2-199,k2-199,K2-199
4070275,TOI-4364,toi-4364,TOI-4364
4165850,TOI-5160,toi-5160,TOI-5160
4486230,TOI-6880,toi-6880,TOI-6880
4619242,TOI-5295,toi-5295,TOI-5295
4646810,HD 15906,hd15906,HD15906
4897275,TOI-1774,toi-1774,TOI-1774
4918918,Wolf 327,wolf327,WOLF327
4959676,TOI-3350,toi-3350,TOI-3350
5882269,K2-284,k2-284,K2-284
6139066,K2-397,k2-397,K2-397
6404965,TOI-3346,toi-3346,TOI-3346
6764171,TOI-6685,toi-6685,TOI-6685
6785559,TOI-5085,toi-5085,TOI-5085
6892385,K2-105,k2-105,K2-105
7059054,K2-121,k2-121,K2-121
7422496,TOI-4189,toi-4189,TOI-4189
7439480,TOI-6110,toi-6110,TOI-6110
8260536,TOI-5398,toi-5398,TOI-5398
8348911,TOI-2266,toi-2266,TOI-2266
8599009,TOI-4463 A,toi-4463a,TOI-4463A
8853478,TOI-5390,toi-5390,TOI-5390
8918021,K2-325,k2-325,K2-325
8967242,TOI-1799,toi-1799,TOI-1799
8995204,TOI-6832,toi-6832,TOI-6832
9006668,TOI-238,toi-238,TOI-238
9151337,TOI-5572,toi-5572,TOI-5572
9166136,TOI-6850,toi-6850,TOI-6850
9216075,TOI-6903,toi-6903,TOI-6903
9348006,TOI-1775,toi-1775,TOI-1775
9858404,TOI-394,toi-394,TOI-394
9907513,TOI-5590,toi-5590,TOI-5590
9989136,TOI-5734,toi-5734,TOI-5734
10195089,K2-381,k2-381,K2-381
10792081,TOI-5703,toi-5703,TOI-5703
10837041,TOI-2411,toi-2411,TOI-2411
11023038,K2-139,k2-139,K2-139
11894726,TOI-7015,toi-7015,TOI-7015
11936042,TOI-2807,toi-2807,TOI-2807
12036590,TOI-2598,toi-2598,TOI-2598
12181371,K2-130,k2-130,K2-130
12421862,TOI-198,toi-198,TOI-198
12666215,K2-38,k2-38,K2-38
12821302,K2-367,k2-367,K2-367
12822545,K2-54,k2-54,K2-54
13684720,TOI-1433,toi-1433,TOI-1433
13883872,TOI-4322,toi-4322,TOI-4322
14078624,K2-179,k2-179,K2-179
14091633,TOI-447,toi-447,TOI-447
14091704,TOI-445,toi-445,TOI-445
14111411,K2-90,k2-90,K2-90
14160842,K2-85,k2-85,K2-85
14165625,TOI-875,toi-875,TOI-875
14336130,TOI-1716,toi-1716,TOI-1716
14570099,K2-346,k2-346,K2-346
14635562,K2-122,k2-122,K2-122
15756231,V1298 Tau,v1298tau,V1298TAU
15863518,TOI-1713,toi-1713,TOI-1713
16005254,TOI-5344,toi-5344,TOI-5344
16884216,TOI-2023,toi-2023,TOI-2023
17307715,K2-155,k2-155,K2-155
17385917,TOI-5543,toi-5543,TOI-5543
18019350,TOI-5397,toi-5397,TOI-5397
18310799,K2-136,k2-136,K2-136
18318288,TOI-6086,toi-6086,TOI-6086
18574158,TOI-7051,toi-7051,TOI-7051
19025965,TOI-493,toi-493,TOI-493
19028197,GJ 3470,gj3470,GJ3470
19451711,TOI-522,toi-522,TOI-522
19519368,TOI-494,toi-494,TOI-494
20182780,TOI-3984 A,toi-3984a,TOI-3984A
20203297,TOI-2268,toi-2268,TOI-2268
20318757,TOI-1027,toi-1027,TOI-1027
20375215,TOI-6709,toi-6709,TOI-6709
20897611,TOI-2383,toi-2383,TOI-2383
21130820,TOI-4548,toi-4548,TOI-4548
21244210,K2-184,k2-184,K2-184
21276520,K2-263,k2-263,K2-263
21535395,TOI-1776,toi-1776,TOI-1776
21744120,HAT-P-18,hat-p-18,HAT-P-18
21832928,TOI-2128,toi-2128,TOI-2128
22038430,TOI-7052,toi-7052,TOI-7052
22221375,HD 86226,hd86226,HD86226
22233480,TOI-4438,toi-4438,TOI-4438
22740615,TOI-7082,toi-7082,TOI-7082
22903436,TOI-7032,toi-7032,TOI-7032
23229805,TOI-4451,toi-4451,TOI-4451
23434737,TOI-1203,toi-1203,TOI-1203
23740089,TOI-1849,toi-1849,TOI-1849
23814735,TOI-2075,toi-2075,TOI-2075
23863105,TOI-5671,toi-5671,TOI-5671
23961340,TOI-7062,toi-7062,TOI-7062
24695044,TOI-2195,toi-2195,TOI-2195
26054627,TOI-5349,toi-5349,TOI-5349
26123781,BD+20 594,bd+20-594,BD+20-594
26826078,HAT-P-20,hat-p-20,HAT-P-20
27039476,K2-291,k2-291,K2-291
27064468,TOI-5126,toi-5126,TOI-5126
27194429,TOI-1831,toi-1831,TOI-1831
27491137,TOI-2076,toi-2076,TOI-2076
27649847,TOI-521,toi-521,TOI-521
28116365,TOI-4297,toi-4297,TOI-4297
28159518,Kepler-367,kepler-367,KEPLER-367
28227113,Kepler-538,kepler-538,KEPLER-538
28230919,HAT-P-11,hat-p-11,HAT-P-11
28294709,TOI-4607,toi-4607,TOI-4607
28361088,Kepler-568,kepler-568,KEPLER-568
28900646,TOI-1685,toi-1685,TOI-1685
29054413,TOI-1631,toi-1631,TOI-1631
29106627,TOI-6070,toi-6070,TOI-6070
29169215,TOI-5584,toi-5584,TOI-5584
29191596,TOI-1792,toi-1792,TOI-1792
29191624,TOI-1777,toi-1777,TOI-1777
29781207,TOI-5402,toi-5402,TOI-5402
29781292,HD 28109,hd28109,HD28109
29919341,TOI-2422,toi-2422,TOI-2422
29953537,TOI-7033,toi-7033,TOI-7033
29959760,TOI-2444,toi-2444,TOI-2444
29960110,TOI-1201,toi-1201,TOI-1201
30037565,TOI-1209,toi-1209,TOI-1209
30122649,TOI-808,toi-808,TOI-808
30828562,TOI-621,toi-621,TOI-621
30853470,TOI-807,toi-807,TOI-807
31374837,TOI-431,toi-431,TOI-431
31515092,TOI-2552,toi-2552,TOI-2552
31637479,TOI-4182,toi-4182,TOI-4182
31858843,WASP-123,wasp-123,WASP-123
32090583,TOI-218,toi-218,TOI-218
32296259,TOI-6434,toi-6434,TOI-6434
32460142,TOI-4382,toi-4382,TOI-4382
32497972,TOI-876,toi-876,TOI-876
32498058,TOI-4347,toi-4347,TOI-4347
33091590,TOI-2495,toi-2495,TOI-2495
33521996,HATS-6,hats-6,HATS-6
33692729,HD 42813,hd42813,HD42813
33716474,TOI-4561,toi-4561,TOI-4561
33831980,TOI-806,toi-806,TOI-806
34068865,GJ 367,gj367,GJ367
34077285,TOI-880,toi-880,TOI-880
34729329,TOI-2731,toi-2731,TOI-2731
34980970,TOI-5343,toi-5343,TOI-5343
34986694,TOI-6717,toi-6717,TOI-6717
35009898,TOI-654,toi-654,TOI-654
35019000,EPIC 201238110,epic201238110,EPIC201238110
35021200,K2-158,k2-158,K2-158
35064295,K2-159,k2-159,K2-159
36452991,TOI-2969,toi-2969,TOI-2969
36724087,LTT 3780,ltt3780,LTT3780
36734222,WASP-43,wasp-43,WASP-43
37089434,TOI-2596,toi-2596,TOI-2596
37749396,TOI-260,toi-260,TOI-260
37770169,TOI-470,toi-470,TOI-470
38116202,EPIC 201170410,epic201170410,EPIC201170410
38200266,K2-65,k2-65,K2-65
38258419,K2-68,k2-68,K2-68
38337202,K2-72,k2-72,K2-72
38355468,EPIC 206215704,epic206215704,EPIC206215704
38460940,TOI-805,toi-805,TOI-805
38509907,TOI-722,toi-722,TOI-722
38510224,TOI-711,toi-711,TOI-711
38584799,TOI-6633,toi-6633,TOI-6633
38680052,TOI-2208,toi-2208,TOI-2208
39143128,TOI-5389,toi-5389,TOI-5389
39200363,TOI-2133,toi-2133,TOI-2133
39516274,TOI-5997,toi-5997,TOI-5997
39699648,HD 77946,hd77946,HD77946
39903405,HAT-P-2,hat-p-2,HAT-P-2
39926974,K2-28,k2-28,K2-28
39928614,K2-69,k2-69,K2-69
39936432,K2-116,k2-116,K2-116
40083958,TOI-851,toi-851,TOI-851
40292751,TOI-5786,toi-5786,TOI-5786
40466976,TOI-4494,toi-4494,TOI-4494
42054565,TOI-280,toi-280,TOI-280
42883782,TOI-5788,toi-5788,TOI-5788
43276438,TOI-5701,toi-5701,TOI-5701
44295981,TOI-6137,toi-6137,TOI-6137
44313455,TOI-2142,toi-2142,TOI-2142
44647437,TOI-435,toi-435,TOI-435
44737596,HATS-75,hats-75,HATS-75
44764338,TOI-2804,toi-2804,TOI-2804
44797824,TOI-865,toi-865,TOI-865
44898913,LP 890-9,lp890-9,LP890-9
46096489,WASP-16,wasp-16,WASP-16
46432937,TIC 46432937,tic46432937,TIC46432937
46631742,TOI-5358,toi-5358,TOI-5358
46999289,TOI-3398,toi-3398,TOI-3398
47423120,TOI-352,toi-352,TOI-352
47482754,TOI-6727,toi-6727,TOI-6727
47601197,TOI-2350,toi-2350,TOI-2350
47720259,TOI-2519,toi-2519,TOI-2519
48018596,TOI-2295,toi-2295,TOI-2295
48353358,Kepler-1651,kepler-1651,KEPLER-1651
48450369,Kepler-408,kepler-408,KEPLER-408
48503881,Kepler-1712,kepler-1712,KEPLER-1712
49040478,K2-33,k2-33,K2-33
49066806,TOI-6530,toi-6530,TOI-6530
49079670,TOI-641,toi-641,TOI-641
49428710,TOI-5174,toi-5174,TOI-5174
49512708,K2-366,k2-366,K2-366
49592509,K2-417,k2-417,K2-417
49652731,K2-53,k2-53,K2-53
49984349,K2-369,k2-369,K2-369
50171060,K2-31,k2-31,K2-31
50312495,TOI-1211,toi-1211,TOI-1211
50379036,TOI-4350,toi-4350,TOI-4350
50618703,TOI-544,toi-544,TOI-544
51641442,EPIC 228836835,epic228836835,EPIC228836835
51664268,K2-255,k2-255,K2-255
52005579,Gliese 12,gliese12,GLIESE12
52204645,TOI-209,toi-209,TOI-209
52307802,TOI-4360,toi-4360,TOI-4360
52368076,TOI-125,toi-125,TOI-125
53287554,TOI-5172,toi-5172,TOI-5172
53498154,TOI-5624,toi-5624,TOI-5624
54002556,NGTS-11,ngts-11,NGTS-11
54238138,TOI-6529,toi-6529,TOI-6529
54962195,TOI-663,toi-663,TOI-663
55092869,KELT-11,kelt-11,KELT-11
55275863,TOI-5515,toi-5515,TOI-5515
55315929,HD 80653,hd80653,HD80653
55488511,TOI-557,toi-557,TOI-557
55559618,TOI-695,toi-695,TOI-695
55650590,TOI-206,toi-206,TOI-206
55652896,TOI-216,toi-216,TOI-216
56399553,K2-29,k2-29,K2-29
56520147,K2-91,k2-91,K2-91
56658270,IRAS 04125+2902,iras04125+2902,IRAS04125+2902
56662591,TOI-4309,toi-4309,TOI-4309
56754291,K2-152,k2-152,K2-152
56798909,TOI-5404,toi-5404,TOI-5404
56815340,HD 106315,hd106315,HD106315
57299130,TOI-7043,toi-7043,TOI-7043
58542531,TOI-1683,toi-1683,TOI-1683
58824746,TOI-4638,toi-4638,TOI-4638
59128183,TOI-2453,toi-2453,TOI-2453
59582240,TOI-5166,toi-5166,TOI-5166
60377863,TOI-4851,toi-4851,TOI-4851
60984804,TOI-6260,toi-6260,TOI-6260
61109252,TOI-5394,toi-5394,TOI-5394
61312205,K2-404,k2-404,K2-404
62483237,TOI-139,toi-139,TOI-139
62676654,TOI-7054,toi-7054,TOI-7054
63013648,TOI-5547,toi-5547,TOI-5547
63082902,TOI-6936,toi-6936,TOI-6936
63100069,TOI-7170,toi-7170,TOI-7170
63126862,Kepler-42,kepler-42,KEPLER-42
63213622,Kepler-1313,kepler-1313,KEPLER-1313
63368895,Kepler-1869,kepler-1869,KEPLER-1869
63898957,TOI-261,toi-261,TOI-261
64071894,TOI-458,toi-458,TOI-458
64282927,TOI-5949,toi-5949,TOI-5949
65416038,TOI-4190,toi-4190,TOI-4190
65672998,HD 60779,hd60779,HD60779
66413476,TOI-325,toi-325,TOI-325
66620917,TOI-4391,toi-4391,TOI-4391
67181830,TOI-6912,toi-6912,TOI-6912
67395329,TOI-6873,toi-6873,TOI-6873
67418624,TOI-1598,toi-1598,TOI-1598
67512645,TOI-6894,toi-6894,TOI-6894
67630845,TOI-2408,toi-2408,TOI-2408
67646988,TOI-1779,toi-1779,TOI-1779
67782629,TOI-2454,toi-2454,TOI-2454
67881560,TOI-6018,toi-6018,TOI-6018
68035559,TOI-2484,toi-2484,TOI-2484
68048686,K2-24,k2-24,K2-24
68504570,K2-37,k2-37,K2-37
68573534,TOI-4597,toi-4597,TOI-4597
68577662,K2-232,k2-232,K2-232
68646526,TOI-4611,toi-4611,TOI-4611
68893269,TOI-5544,toi-5544,TOI-5544
68952448,WASP-67,wasp-67,WASP-67
69054388,TOI-6919,toi-6919,TOI-6919
69679391,KELT-20,kelt-20,KELT-20
69747919,K2-167,k2-167,K2-167
69819610,TOI-2324,toi-2324,TOI-2324
70298662,K2-315,k2-315,K2-315
70412892,K2-317,k2-317,K2-317
70513361,TOI-262,toi-262,TOI-262
70899085,LP 714-47,lp714-47,LP714-47
70914192,TOI-427,toi-427,TOI-427
71013298,TOI-2467,toi-2467,TOI-2467
71268730,TOI-5375,toi-5375,TOI-5375
71347873,TOI-2293,toi-2293,TOI-2293
71431780,TOI-1723,toi-1723,TOI-1723
71512186,TOI-525,toi-525,TOI-525
71582156,TOI-5726,toi-5726,TOI-5726
71674064,TOI-6522,toi-6522,TOI-6522
72090501,TOI-651,toi-651,TOI-651
72668830,TOI-4296,toi-4296,TOI-4296
73228647,HD 110113,hd110113,HD110113
73540072,TOI-1853,toi-1853,TOI-1853
73649615,TOI-756,toi-756,TOI-756
73848324,K2-287,k2-287,K2-287
73943566,K2-316,k2-316,K2-316
74534430,TOI-687,toi-687,TOI-687
75589027,TOI-5130,toi-5130,TOI-5130
75878355,TOI-2134,toi-2134,TOI-2134
76193403,TOI-5700,toi-5700,TOI-5700
76706043,TOI-6612,toi-6612,TOI-6612
76923707,TOI-181,toi-181,TOI-181
76989773,TOI-182,toi-182,TOI-182
77156829,LHS 1678,lhs1678,LHS1678
77253676,TOI-697,toi-697,TOI-697
77951245,TOI-450,toi-450,TOI-450
79748331,TOI-1064,toi-1064,TOI-1064
80224448,TOI-6965,toi-6965,TOI-6965
80682484,TOI-2810,toi-2810,TOI-2810
81247740,TOI-1855,toi-1855,TOI-1855
82050863,K2-9,k2-9,K2-9
82308728,HD 97658,hd97658,HD97658
82452140,TOI-2289,toi-2289,TOI-2289
83092282,TOI-622,toi-622,TOI-622
83181153,K2-26,k2-26,K2-26
85031598,TOI-1684,toi-1684,TOI-1684
85242435,TOI-1722,toi-1722,TOI-1722
85281192,TOI-6317,toi-6317,TOI-6317
85293053,TOI-1772,toi-1772,TOI-1772
85593751,WASP-11,wasp-11,WASP-11
86130229,K2-352,k2-352,K2-352
86263325,TOI-3884,toi-3884,TOI-3884
86951294,TOI-4596,toi-4596,TOI-4596
87090944,TOI-1677,toi-1677,TOI-1677
87216634,TOI-5789,toi-5789,TOI-5789
87405719,TOI-5416,toi-5416,TOI-5416
88114177,TOI-5531,toi-5531,TOI-5531
89020549,TOI-132,toi-132,TOI-132
90090343,K2-379,k2-379,K2-379
90767677,TOI-5359,toi-5359,TOI-5359
90853136,TOI-5092,toi-5092,TOI-5092
90935995,TOI-6801,toi-6801,TOI-6801
91051152,WASP-59,wasp-59,WASP-59
91287873,TOI-5554,toi-5554,TOI-5554
91481801,TOI-5099,toi-5099,TOI-5099
91555165,TOI-2345,toi-2345,TOI-2345
91987762,TOI-1898,toi-1898,TOI-1898
