name,slctd,rank
TOI-454,1,5
TOI-1468,1,6
TOI-1468,1,6
GJ 143,1,7
GJ 143,1,7
HD 60779,1,8
HD 95338,1,9
TOI-2540,1,10
TOI-2540,1,10
TOI-7049,1,13
TOI-2134,1,14
TOI-2134,1,14
TOI-1224,1,18
TOI-1224,1,18
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
LP 791-18,1,21
LP 791-18,1,21
LP 791-18,1,21
TOI-2119,1,22
TOI-5789,1,24
TOI-6965,1,25
TOI-6965,1,25
HAT-P-20,1,26
TOI-2443,1,27
TOI-406,1,28
TOI-406,1,28
TOI-406,1,28
HD 73583,1,30
HD 73583,1,30
HD 22946,1,31
HD 22946,1,31
HD 22946,1,31
HD 73344,1,32
TOI-2422,1,33
HD 207496,1,34
TOI-712,1,35
TOI-712,1,35
TOI-712,1,35
TOI-2194,1,36
TOI-815,1,37
TOI-815,1,37
HD 207897,1,38
TOI-1898,1,39
TOI-2459,1,40
TOI-5554,1,41
TOI-1774,1,44
TOI-1710,1,45
HIP 9618,1,46
HIP 9618,1,46
TOI-4576,1,47
TOI-6973,1,48
LTT 3780,1,49
LTT 3780,1,49
HD 17156,1,51
K2-9,1,52
TOI-444,1,53
HD 18599,1,54
TOI-4632,1,55
HR 858,1,57
HR 858,1,57
HR 858,1,57
Kepler-37,1,59
Kepler-37,1,59
Kepler-37,1,59
Kepler-37,1,59
Kepler-37,1,59
HD 21520,1,61
TOI-1231,1,62
HD 183579,1,63
TOI-1764,1,64
HD 5278,1,66
K2-72,1,69
K2-72,1,69
K2-72,1,69
K2-72,1,69
HD 135694,1,70
TOI-700,1,71
TOI-700,1,71
TOI-700,1,71
TOI-700,1,71
TOI-450,1,72
TOI-2605,1,73
WASP-59,1,74
TOI-2285,1,75
TOI-2094,1,76
HIP 94235,1,78
TOI-1467,1,79
TOI-904,1,80
TOI-904,1,80
TOI-5375,1,82
TOI-4189,1,83
TOI-2015,1,84
HD 15906,1,85
HD 15906,1,85
WASP-84,1,86
WASP-84,1,86
TOI-1434,1,87
TOI-4631,1,88
TOI-1266,1,89
TOI-1266,1,89
TOI-2276,1,90
TOI-2018,1,92
TOI-4511,1,93
TOI-4511,1,93
HD 332231,1,94
TOI-6673,1,95
HD 235088,1,96
TOI-1730,1,97
TOI-1730,1,97
TOI-1730,1,97
TOI-2095,1,98
TOI-2095,1,98
TOI-198,1,99
HIP 113103,1,100
HIP 113103,1,100
TOI-5112,1,101
TOI-6936,1,102
KELT-24,1,103
TOI-1801,1,104
LP 714-47,1,105
TOI-6708,1,106
TOI-687,1,107
TOI-2128,1,108
TOI-727,1,109
TOI-727,1,109
TOI-4325,1,111
TOI-1203,1,112
TOI-6078,1,114
TOI-6078,1,114
TOI-1696,1,115
TOI-6992,1,116
TOI-286,1,117
TOI-286,1,117
TOI-7032,1,118
TOI-2327,1,119
GJ 3090,1,120
TOI-480,1,121
TOI-2079,1,122
TOI-2079,1,122
TOI-4438,1,123
TOI-1742,1,124
TOI-4185,1,125
TOI-620,1,126
TOI-257,1,127
K2-384,1,128
K2-384,1,128
K2-384,1,128
K2-384,1,128
K2-384,1,128
TOI-1751,1,129
TOI-1728,1,130
TOI-201,1,131
TOI-201,1,131
TOI-214,1,132
TOI-214,1,132
TOI-4529,1,134
TOI-4602,1,136
TOI-911,1,137
TOI-5416,1,138
K2-136,1,139
K2-136,1,139
K2-136,1,139
TOI-1452,1,140
TOI-1451,1,141
TOI-6225,0,142
TOI-1718,0,143
WASP-8,0,144
TOI-2136,0,146
TOI-251,0,147
TOI-1268,0,149
TOI-244,0,150
TOI-4336 A,0,151
TOI-1235,0,152
K2-18,0,153
HD 118203,0,154
TOI-5734,0,155
TOI-6676,0,156
TOI-7043,0,157
TOI-6850,0,158
K2-152,0,159
TOI-262,0,160
KELT-2 A,0,161
HD 23472,0,162
HD 23472,0,162
HD 23472,0,162
HD 23472,0,162
HD 23472,0,162
TOI-1027,0,163
TOI-1027,0,163
TOI-1027,0,163
TOI-4460,0,164
TOI-1691,0,165
K2-174,0,166
