name,slctd,rank
TOI-454,1,5
HD 95338,1,6
TOI-1468,1,7
TOI-1468,1,7
HD 60779,1,8
TOI-1224,1,9
TOI-1224,1,9
TOI-2443,1,10
TOI-2540,1,11
TOI-2540,1,11
TOI-2134,1,13
TOI-2134,1,13
TOI-7049,1,15
LP 791-18,1,18
LP 791-18,1,18
LP 791-18,1,18
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
HD 110067,1,19
TOI-2119,1,22
TOI-2194,1,23
HD 73583,1,24
HD 73583,1,24
TOI-5789,1,26
TOI-406,1,27
TOI-406,1,27
TOI-406,1,27
TOI-6965,1,28
TOI-6965,1,28
HD 22946,1,29
HD 22946,1,29
HD 22946,1,29
GJ 143,1,30
GJ 143,1,30
TOI-4576,1,31
HAT-P-20,1,32
HD 73344,1,35
TOI-815,1,36
TOI-815,1,36
TOI-712,1,37
TOI-712,1,37
TOI-712,1,37
TOI-1898,1,38
TOI-1764,1,39
TOI-5554,1,40
HD 207897,1,41
TOI-1231,1,42
HD 207496,1,43
TOI-2422,1,44
TOI-2459,1,45
TOI-2605,1,46
HD 17156,1,47
TOI-1710,1,51
HIP 9618,1,52
HIP 9618,1,52
HIP 94235,1,53
TOI-1774,1,54
TOI-4632,1,55
LTT 3780,1,56
LTT 3780,1,56
K2-9,1,57
TOI-6973,1,58
TOI-444,1,60
Kepler-37,1,61
Kepler-37,1,61
Kepler-37,1,61
Kepler-37,1,61
Kepler-37,1,61
HD 18599,1,62
HR 858,1,63
HR 858,1,63
HR 858,1,63
HD 183579,1,64
TOI-1203,1,65
HD 21520,1,68
TOI-1434,1,70
TOI-4189,1,72
HD 5278,1,73
HIP 113103,1,74
HIP 113103,1,74
TOI-904,1,75
TOI-904,1,75
TOI-450,1,77
TOI-700,1,78
TOI-700,1,78
TOI-700,1,78
TOI-700,1,78
TOI-2276,1,79
TOI-2094,1,80
K2-72,1,81
K2-72,1,81
K2-72,1,81
K2-72,1,81
TOI-1730,1,82
TOI-1730,1,82
TOI-1730,1,82
TOI-2015,1,83
HD 332231,1,84
TOI-2285,1,85
TOI-4631,1,86
KELT-24,1,87
WASP-84,1,88
WASP-84,1,88
TOI-2128,1,89
WASP-59,1,90
HD 135694,1,91
TOI-6936,1,94
HD 15906,1,95
HD 15906,1,95
TOI-727,1,96
TOI-727,1,96
TOI-1467,1,97
TOI-201,1,98
TOI-201,1,98
TOI-2327,1,99
TOI-2018,1,100
TOI-5375,1,101
TOI-6673,1,102
K2-136,1,103
K2-136,1,103
K2-136,1,103
HD 235088,1,104
TOI-7032,1,105
TOI-1801,1,106
TOI-2095,1,107
TOI-2095,1,107
TOI-1266,1,108
TOI-1266,1,108
TOI-5112,1,109
TOI-6708,1,111
TOI-2079,1,112
TOI-2079,1,112
TOI-198,1,113
TOI-4511,1,114
TOI-4511,1,114
TOI-6992,1,115
TOI-687,1,116
TOI-214,1,117
TOI-214,1,117
TOI-4185,1,118
LP 714-47,1,119
TOI-286,1,120
TOI-286,1,120
K2-152,1,121
TOI-4325,1,123
TOI-6078,1,124
TOI-6078,1,124
TOI-1696,1,125
TOI-251,1,127
TOI-5416,1,128
TOI-911,1,129
K2-384,1,130
K2-384,1,130
K2-384,1,130
K2-384,1,130
K2-384,1,130
TOI-257,1,131
TOI-480,1,132
TOI-1742,1,133
WASP-8,1,134
TOI-262,1,135
TOI-620,1,136
TOI-6225,1,137
GJ 3090,1,138
TOI-2141,1,139
TOI-4438,1,140
TOI-1136,1,141
TOI-1136,1,141
TOI-1136,1,141
TOI-1136,1,141
TOI-1136,1,141
TOI-1136,1,141
TOI-1751,0,142
K2-286,0,143
TOI-4529,0,144
K2-18,0,145
TOI-4309,0,147
HD 118203,0,148
TOI-1451,0,149
TOI-6676,0,150
TOI-240,0,151
TOI-2093,0,152
HD 23472,0,153
HD 23472,0,153
HD 23472,0,153
HD 23472,0,153
HD 23472,0,153
TOI-1728,0,154
TOI-1027,0,155
TOI-1027,0,155
TOI-1027,0,155
TOI-4626,0,156
TOI-2136,0,157
TOI-1718,0,158
HD 25463,0,159
HD 25463,0,159
TOI-4602,0,160
TOI-1268,0,161
TOI-1452,0,162
TOI-244,0,163
K2-316,0,164
K2-316,0,164
