name,slctd,rank
HD 60779,1,5
HD 95338,1,6
GJ 143,1,7
GJ 143,1,7
TOI-2540,1,10
TOI-2540,1,10
TOI-1468,1,11
TOI-1468,1,11
TOI-7049,1,13
TOI-2134,1,14
TOI-2134,1,14
TOI-5789,1,17
TOI-2443,1,18
TOI-6965,1,19
TOI-6965,1,19
HAT-P-20,1,20
LP 791-18,1,21
LP 791-18,1,21
LP 791-18,1,21
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
TOI-1224,1,23
TOI-1224,1,23
TOI-2422,1,24
TOI-2194,1,25
HD 207496,1,27
TOI-2119,1,28
TOI-406,1,29
TOI-406,1,29
TOI-406,1,29
TOI-1774,1,31
TOI-6973,1,33
TOI-1710,1,34
HD 73344,1,35
HD 207897,1,36
HIP 9618,1,37
HIP 9618,1,37
TOI-4576,1,39
TOI-712,1,40
TOI-712,1,40
TOI-712,1,40
HD 73583,1,41
HD 73583,1,41
LTT 3780,1,42
LTT 3780,1,42
TOI-1231,1,43
TOI-444,1,46
K2-9,1,47
TOI-1898,1,50
HD 135694,1,51
HD 18599,1,52
TOI-454,1,53
HD 21520,1,54
WASP-59,1,55
HD 5278,1,57
TOI-2605,1,58
HD 22946,1,59
HD 22946,1,59
HD 22946,1,59
TOI-815,1,60
TOI-815,1,60
HR 858,1,61
HR 858,1,61
HR 858,1,61
K2-72,1,63
K2-72,1,63
K2-72,1,63
K2-72,1,63
TOI-5375,1,64
TOI-5554,1,65
TOI-1467,1,66
TOI-2285,1,67
TOI-4511,1,68
TOI-4511,1,68
TOI-700,1,69
TOI-700,1,69
TOI-700,1,69
TOI-700,1,69
TOI-1266,1,70
TOI-1266,1,70
TOI-4632,1,71
Kepler-37,1,72
Kepler-37,1,72
Kepler-37,1,72
Kepler-37,1,72
Kepler-37,1,72
HD 15906,1,74
HD 15906,1,74
WASP-84,1,75
WASP-84,1,75
TOI-2094,1,76
LP 714-47,1,77
TOI-2015,1,78
TOI-6673,1,79
TOI-2018,1,80
HD 235088,1,81
TOI-2095,1,82
TOI-2095,1,82
HD 17156,1,84
TOI-1203,1,85
HD 183579,1,86
TOI-4602,1,87
TOI-1728,1,88
TOI-4631,1,89
TOI-6078,1,90
TOI-6078,1,90
TOI-4438,1,91
TOI-1452,1,93
TOI-7032,1,94
TOI-904,1,95
TOI-904,1,95
TOI-198,1,96
TOI-4189,1,97
TOI-687,1,98
TOI-1751,1,99
TOI-480,1,100
TOI-1696,1,101
TOI-2459,1,102
GJ 3090,1,103
TOI-2276,1,104
TOI-1718,1,105
TOI-1434,1,106
HD 332231,1,107
TOI-1742,1,109
TOI-1268,1,110
TOI-2128,1,111
KELT-2 A,1,112
TOI-1451,1,113
TOI-286,1,114
TOI-286,1,114
TOI-1801,1,116
TOI-1235,1,117
TOI-1691,1,118
TOI-5112,1,119
TOI-6850,1,120
TOI-6708,1,121
TOI-7043,1,122
TOI-4460,1,123
TOI-257,1,124
TOI-122,1,125
TOI-620,1,126
TOI-6936,1,127
TOI-6992,1,128
TOI-2136,1,129
Wolf 503,1,130
TOI-2079,1,132
TOI-2079,1,132
HIP 113103,1,133
HIP 113103,1,133
Kepler-10,1,134
Kepler-10,1,134
TOI-5388,1,135
K2-174,1,136
TOI-1695,1,137
TOI-5788,0,138
TOI-5788,0,138
HIP 94235,0,139
TOI-4336 A,0,140
TOI-6676,0,141
TOI-6871,0,143
TOI-5169,0,144
TOI-1764,0,145
TOI-2287,0,146
HD 118203,0,147
TOI-1730,0,148
TOI-1730,0,148
TOI-1730,0,148
TOI-4185,0,149
TOI-911,0,150
Kepler-138,0,151
Kepler-138,0,151
Kepler-138,0,151
TOI-6225,0,152
TOI-6904,0,153
TOI-1643,0,154
TOI-5521,0,155
TOI-1752,0,156
TOI-1752,0,156
TOI-4643,0,157
TOI-4643,0,157
TOI-727,0,158
TOI-727,0,158
TOI-244,0,159
TOI-2158,0,160
