name,slctd,rank
GJ 143,1,5
GJ 143,1,5
HD 95338,1,6
HD 60779,1,7
TOI-2540,1,10
TOI-2540,1,10
TOI-2443,1,11
TOI-1468,1,12
TOI-1468,1,12
TOI-7049,1,14
TOI-2134,1,15
TOI-2134,1,15
TOI-2194,1,17
TOI-5789,1,19
LP 791-18,1,20
LP 791-18,1,20
LP 791-18,1,20
TOI-6965,1,21
TOI-6965,1,21
HAT-P-20,1,22
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
TOI-1224,1,25
TOI-1224,1,25
TOI-2422,1,26
HD 207496,1,28
TOI-2119,1,29
TOI-1231,1,30
TOI-406,1,31
TOI-406,1,31
TOI-406,1,31
TOI-1774,1,33
TOI-2605,1,35
TOI-6973,1,36
TOI-1710,1,37
HD 73344,1,38
HD 207897,1,39
HIP 9618,1,40
HIP 9618,1,40
TOI-4576,1,43
HD 73583,1,44
HD 73583,1,44
TOI-712,1,45
TOI-712,1,45
TOI-712,1,45
LTT 3780,1,47
LTT 3780,1,47
TOI-444,1,48
K2-9,1,49
TOI-1203,1,51
TOI-1898,1,53
HD 135694,1,54
HD 18599,1,55
TOI-454,1,56
HD 21520,1,57
WASP-59,1,58
HD 5278,1,59
HD 22946,1,60
HD 22946,1,60
HD 22946,1,60
TOI-815,1,62
TOI-815,1,62
HR 858,1,63
HR 858,1,63
HR 858,1,63
K2-72,1,65
K2-72,1,65
K2-72,1,65
K2-72,1,65
TOI-5375,1,66
TOI-5554,1,67
TOI-1467,1,68
TOI-2285,1,69
TOI-4511,1,70
TOI-4511,1,70
TOI-700,1,71
TOI-700,1,71
TOI-700,1,71
TOI-700,1,71
TOI-1266,1,72
TOI-1266,1,72
TOI-4632,1,73
TOI-1434,1,74
Kepler-37,1,75
Kepler-37,1,75
Kepler-37,1,75
Kepler-37,1,75
Kepler-37,1,75
HD 15906,1,78
HD 15906,1,78
WASP-84,1,80
WASP-84,1,80
TOI-2094,1,82
LP 714-47,1,83
TOI-2015,1,84
TOI-6673,1,86
TOI-2018,1,87
HD 235088,1,88
TOI-2095,1,89
TOI-2095,1,89
HD 17156,1,92
TOI-1730,1,93
TOI-1730,1,93
TOI-1730,1,93
TOI-198,1,94
HD 183579,1,95
TOI-4602,1,96
TOI-1728,1,97
TOI-4631,1,98
TOI-233,1,99
TOI-233,1,99
TOI-6078,1,100
TOI-6078,1,100
TOI-4438,1,101
TOI-1452,1,102
TOI-4336 A,1,103
TOI-904,1,104
TOI-904,1,104
TOI-4189,1,105
TOI-687,1,106
TOI-1751,1,107
TOI-480,1,108
TOI-1696,1,109
TOI-2459,1,110
GJ 3090,1,111
TOI-2276,1,112
TOI-1718,1,113
HD 332231,1,114
TOI-1742,1,115
TOI-1268,1,116
KELT-2 A,1,117
TOI-1451,1,118
TOI-286,1,119
TOI-286,1,119
TOI-1801,1,120
TOI-1235,1,121
TOI-1691,1,123
TOI-5112,1,124
TOI-6850,1,125
TOI-6708,1,126
TOI-7043,1,127
TOI-4460,1,128
TOI-257,1,129
TOI-122,1,130
TOI-620,1,131
TOI-6936,1,132
TOI-6992,1,133
TOI-2136,1,134
HD 23472,1,135
HD 23472,1,135
HD 23472,1,135
HD 23472,1,135
HD 23472,1,135
TOI-870,1,136
TOI-133,1,137
TOI-7032,1,138
Wolf 503,1,139
TOI-2079,1,140
TOI-2079,1,140
Kepler-10,0,141
Kepler-10,0,141
HIP 94235,0,142
TOI-5388,0,143
K2-174,0,145
TOI-2128,0,146
TOI-1695,0,147
TOI-5788,0,148
TOI-5788,0,148
TOI-512,0,149
TOI-512,0,149
TOI-727,0,150
TOI-727,0,150
TOI-6676,0,151
HD 42813,0,152
HD 42813,0,152
HD 42813,0,152
TOI-6871,0,154
TOI-5169,0,155
HIP 113103,0,156
HIP 113103,0,156
TOI-1764,0,157
TOI-2287,0,158
HD 118203,0,159
TOI-4185,0,161
TOI-911,0,162
Kepler-138,0,163
Kepler-138,0,163
Kepler-138,0,163
TOI-6225,0,164
TOI-6904,0,165
TOI-1643,0,166
