name,slctd,rank
HD 63433,1,4
HD 63433,1,4
HD 63433,1,4
GJ 143,1,5
GJ 143,1,5
HD 95338,1,6
HD 60779,1,7
TOI-2443,1,11
TOI-1468,1,12
TOI-1468,1,12
TOI-2134,1,14
TOI-2134,1,14
TOI-2194,1,16
TOI-5789,1,18
LP 791-18,1,19
LP 791-18,1,19
LP 791-18,1,19
TOI-6965,1,20
TOI-6965,1,20
HAT-P-20,1,21
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 207496,1,25
TOI-2119,1,26
TOI-1231,1,27
TOI-406,1,28
TOI-406,1,28
TOI-406,1,28
TOI-1774,1,30
HD 63935,1,31
HD 63935,1,31
TOI-6973,1,32
TOI-1710,1,33
HD 73344,1,34
HD 207897,1,35
HIP 9618,1,36
HIP 9618,1,36
TOI-1224,1,39
TOI-1224,1,39
HD 73583,1,40
HD 73583,1,40
TOI-712,1,41
TOI-712,1,41
TOI-712,1,41
LTT 3780,1,43
LTT 3780,1,43
TOI-444,1,44
TOI-1203,1,46
TOI-1898,1,48
HD 135694,1,49
HD 18599,1,50
HD 21520,1,51
WASP-59,1,52
HD 5278,1,53
HD 22946,1,54
HD 22946,1,54
HD 22946,1,54
TOI-815,1,56
TOI-815,1,56
HR 858,1,57
HR 858,1,57
HR 858,1,57
K2-72,1,59
K2-72,1,59
K2-72,1,59
K2-72,1,59
TOI-5554,1,60
TOI-1467,1,61
TOI-2285,1,62
TOI-700,1,64
TOI-700,1,64
TOI-700,1,64
TOI-700,1,64
TOI-1266,1,65
TOI-1266,1,65
TOI-4576,1,66
TOI-4632,1,67
TOI-1434,1,68
Kepler-37,1,69
Kepler-37,1,69
Kepler-37,1,69
Kepler-37,1,69
Kepler-37,1,69
HD 15906,1,72
HD 15906,1,72
WASP-84,1,74
WASP-84,1,74
TOI-2094,1,76
LP 714-47,1,77
TOI-2015,1,78
TOI-2018,1,81
HD 235088,1,82
TOI-2095,1,83
TOI-2095,1,83
HD 17156,1,86
TOI-1730,1,87
TOI-1730,1,87
TOI-1730,1,87
TOI-198,1,88
HD 183579,1,89
TOI-1728,1,90
TOI-233,1,92
TOI-233,1,92
TOI-6078,1,93
TOI-6078,1,93
TOI-4438,1,94
TOI-1452,1,95
TOI-4336 A,1,96
TOI-904,1,97
TOI-904,1,97
TOI-4189,1,98
TOI-687,1,99
TOI-1751,1,100
TOI-480,1,101
TOI-1696,1,102
TOI-2459,1,103
GJ 3090,1,104
TOI-2276,1,105
TOI-1718,1,106
HD 332231,1,107
TOI-1742,1,108
TOI-1268,1,109
KELT-2 A,1,110
TOI-1451,1,111
TOI-286,1,112
TOI-286,1,112
TOI-1801,1,113
TOI-1235,1,114
HD 3167,1,115
HD 3167,1,115
TOI-1691,1,116
TOI-6850,1,117
TOI-257,1,118
TOI-122,1,119
TOI-620,1,120
K2-9,1,121
TOI-6992,1,122
TOI-2136,1,123
HD 23472,1,124
HD 23472,1,124
HD 23472,1,124
HD 23472,1,124
HD 23472,1,124
TOI-870,1,125
TOI-133,1,126
Wolf 503,1,127
TOI-2079,1,128
TOI-2079,1,128
Kepler-10,1,129
Kepler-10,1,129
HIP 94235,1,130
TOI-5388,1,131
K2-174,1,133
TOI-2128,1,134
TOI-1695,1,135
TOI-5788,1,136
TOI-5788,1,136
TOI-727,1,138
TOI-727,1,138
HD 42813,1,140
HD 42813,1,140
HD 42813,1,140
TOI-6871,1,142
TOI-5169,1,143
HIP 113103,0,144
HIP 113103,0,144
TOI-2287,0,145
HD 118203,0,146
TOI-4185,0,148
Kepler-138,0,149
Kepler-138,0,149
Kepler-138,0,149
TOI-1643,0,150
TOI-5521,0,151
TOI-1752,0,152
TOI-1752,0,152
TOI-4643,0,153
TOI-4643,0,153
TOI-244,0,154
TOI-2158,0,155
TOI-214,0,157
TOI-214,0,157
TOI-4556,0,158
TOI-6054,0,159
TOI-6054,0,159
TOI-4364,0,160
WASP-140,0,161
TOI-4451,0,162
TOI-4529,0,163
TOI-5076,0,164
WASP-8,0,165
TOI-715,0,166
