name,slctd,rank
HD 63433,1,4
HD 63433,1,4
HD 63433,1,4
GJ 143,1,5
GJ 143,1,5
HD 95338,1,6
HD 60779,1,7
TOI-1468,1,11
TOI-1468,1,11
TOI-2443,1,12
TOI-2134,1,15
TOI-2134,1,15
TOI-2194,1,16
TOI-5789,1,18
TOI-6965,1,19
TOI-6965,1,19
HAT-P-20,1,20
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
HD 110067,1,22
HD 207496,1,24
TOI-1231,1,25
TOI-406,1,26
TOI-406,1,26
TOI-406,1,26
TOI-1774,1,28
TOI-6973,1,30
TOI-1710,1,31
HD 73344,1,32
WASP-59,1,33
HD 207897,1,34
HIP 9618,1,36
HIP 9618,1,36
TOI-1224,1,38
TOI-1224,1,38
TOI-712,1,41
TOI-712,1,41
TOI-712,1,41
HR 858,1,42
HR 858,1,42
HR 858,1,42
LTT 3780,1,43
LTT 3780,1,43
TOI-444,1,44
TOI-1203,1,46
TOI-1433,1,47
TOI-1898,1,48
HD 18599,1,50
HD 135694,1,51
HD 21520,1,52
HD 5278,1,53
HD 22946,1,54
HD 22946,1,54
HD 22946,1,54
TOI-815,1,56
TOI-815,1,56
K2-72,1,57
K2-72,1,57
K2-72,1,57
K2-72,1,57
TOI-5554,1,58
TOI-1266,1,59
TOI-1266,1,59
TOI-2285,1,60
TOI-2285,1,60
TOI-700,1,61
TOI-700,1,61
TOI-700,1,61
TOI-700,1,61
TOI-4576,1,63
TOI-4632,1,64
TOI-1467,1,66
TOI-1434,1,67
Kepler-37,1,68
Kepler-37,1,68
Kepler-37,1,68
Kepler-37,1,68
Kepler-37,1,68
HD 15906,1,70
HD 15906,1,70
WASP-84,1,73
WASP-84,1,73
TOI-2094,1,75
LP 714-47,1,76
TOI-2018,1,79
HD 235088,1,80
TOI-2095,1,81
TOI-2095,1,81
K2-3,1,82
K2-3,1,82
K2-3,1,82
HD 17156,1,83
TOI-1730,1,84
TOI-1730,1,84
TOI-1730,1,84
TOI-198,1,85
HD 183579,1,87
TOI-2015,1,88
TOI-1728,1,89
TOI-233,1,91
TOI-233,1,91
TOI-1452,1,92
TOI-6078,1,93
TOI-6078,1,93
TOI-4438,1,94
TOI-4336 A,1,95
TOI-904,1,96
TOI-904,1,96
TOI-687,1,97
TOI-1696,1,98
TOI-480,1,99
TOI-1691,1,100
TOI-2459,1,101
GJ 3090,1,102
TOI-1751,1,103
TOI-2276,1,104
TOI-1718,1,105
HD 332231,1,106
HD 35843,1,107
TOI-1742,1,108
TOI-1268,1,109
TOI-1451,1,110
KELT-2 A,1,111
TOI-286,1,112
TOI-286,1,112
TOI-1801,1,113
TOI-1235,1,114
HD 3167,1,115
HD 3167,1,115
TOI-6850,1,116
TOI-257,1,117
TOI-620,1,118
TOI-122,1,119
K2-9,1,120
TOI-6992,1,121
TOI-2136,1,122
HD 23472,1,123
HD 23472,1,123
HD 23472,1,123
HD 23472,1,123
HD 23472,1,123
TOI-870,1,124
TOI-133,1,125
Wolf 503,1,126
TOI-2079,1,127
TOI-2079,1,127
TOI-5388,1,128
Kepler-10,1,129
Kepler-10,1,129
HIP 94235,1,130
TOI-1695,1,132
TOI-2128,1,133
TOI-771,1,134
TOI-5788,1,135
TOI-5788,1,135
TOI-727,1,137
TOI-727,1,137
K2-174,1,138
HD 42813,1,140
HD 42813,1,140
HD 42813,1,140
TOI-6871,1,141
TOI-5169,1,142
HIP 113103,1,143
HIP 113103,1,143
TOI-2287,1,144
TOI-4185,1,146
Kepler-138,1,147
Kepler-138,1,147
Kepler-138,1,147
TOI-1643,1,149
TOI-1752,1,150
TOI-1752,1,150
TOI-4643,1,151
TOI-4643,1,151
TOI-2158,1,152
HD 118203,1,154
TOI-214,1,155
TOI-214,1,155
K2-18,1,177
K2-25,1,353
Kepler-444,1,532
Kepler-444,1,532
Kepler-444,1,532
Kepler-444,1,532
HD 219134,1,532
HD 219134,1,532
Kepler-444,1,532
TOI-4556,0,156
TOI-6054,0,157
TOI-6054,0,157
TOI-4451,0,158
