name,slctd,rank
GJ 143,1,6
GJ 143,1,6
HD 60779,1,7
HD 95338,1,8
HD 260655,1,9
HD 260655,1,9
TOI-2443,1,12
TOI-2134,1,15
TOI-2134,1,15
TOI-2194,1,16
TOI-1468,1,17
TOI-1468,1,17
TOI-5789,1,18
GJ 3090,1,20
GJ 3090,1,20
TOI-6965,1,21
TOI-6965,1,21
HAT-P-20,1,22
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
HD 110067,1,24
TOI-4310,1,25
HD 207496,1,27
TOI-1231,1,28
TOI-406,1,29
TOI-406,1,29
TOI-406,1,29
TOI-5734,1,30
TOI-6973,1,32
TOI-1710,1,33
HD 73344,1,34
WASP-59,1,35
HD 207897,1,36
HIP 9618,1,38
HIP 9618,1,38
TOI-7481,1,40
TOI-1224,1,41
TOI-1224,1,41
TOI-1774,1,43
TOI-712,1,45
TOI-712,1,45
TOI-712,1,45
HR 858,1,46
HR 858,1,46
HR 858,1,46
LTT 3780,1,47
LTT 3780,1,47
TOI-444,1,49
TOI-1898,1,51
HD 18599,1,53
TOI-2322,1,54
TOI-2322,1,54
LHS 1903,1,55
LHS 1903,1,55
LHS 1903,1,55
LHS 1903,1,55
HD 224018,1,56
HD 224018,1,56
TOI-1203,1,57
TOI-1203,1,57
HD 135694,1,58
HD 21520,1,59
HD 5278,1,60
HD 22946,1,61
HD 22946,1,61
HD 22946,1,61
TOI-815,1,63
TOI-815,1,63
TOI-2094,1,64
TOI-4336 A,1,65
TOI-4336 A,1,65
K2-72,1,66
K2-72,1,66
K2-72,1,66
K2-72,1,66
TOI-5554,1,67
TOI-1434,1,68
TOI-1266,1,69
TOI-1266,1,69
TOI-2285,1,70
TOI-2285,1,70
TOI-2411,1,71
TOI-2411,1,71
TOI-2411,1,71
TOI-700,1,72
TOI-700,1,72
TOI-700,1,72
TOI-700,1,72
TOI-4576,1,74
TOI-4632,1,75
TOI-1467,1,77
Kepler-37,1,78
Kepler-37,1,78
Kepler-37,1,78
Kepler-37,1,78
Kepler-37,1,78
GJ 1214,1,79
HD 15906,1,80
HD 15906,1,80
TOI-7390,1,81
WASP-84,1,84
WASP-84,1,84
LP 714-47,1,85
TOI-270,1,86
TOI-270,1,86
TOI-270,1,86
HD 235088,1,88
TOI-2018,1,90
TOI-2095,1,91
TOI-2095,1,91
TOI-7166,1,92
K2-3,1,93
K2-3,1,93
K2-3,1,93
HD 17156,1,94
HD 183579,1,96
TOI-2015,1,97
TOI-2267 A,1,99
TOI-2267 A,1,99
TOI-2267 B,1,99
TOI-1728,1,100
TOI-233,1,101
TOI-233,1,101
TOI-1452,1,102
TOI-6078,1,103
TOI-6078,1,103
TOI-4438,1,104
TOI-904,1,105
TOI-904,1,105
TOI-6041,1,106
TOI-687,1,107
TOI-1696,1,108
TOI-480,1,109
TOI-1691,1,110
TOI-2459,1,111
TOI-1751,1,112
TOI-2276,1,113
TOI-1718,1,114
HD 332231,1,115
HD 35843,1,116
TOI-1742,1,117
TOI-1268,1,118
TOI-1451,1,119
KELT-2 A,1,120
TOI-286,1,121
TOI-286,1,121
TOI-1801,1,122
TOI-1235,1,123
HD 3167,1,124
HD 3167,1,124
TOI-198,1,125
TOI-6850,1,126
TOI-5799,1,127
TOI-5799,1,127
TOI-257,1,128
TOI-620,1,129
TOI-122,1,130
K2-9,1,131
TOI-6992,1,132
TOI-2136,1,133
HD 23472,1,134
HD 23472,1,134
HD 23472,1,134
HD 23472,1,134
HD 23472,1,134
TOI-870,1,135
TOI-133,1,136
Wolf 503,1,137
TOI-2079,1,138
TOI-2079,1,138
TOI-5788,1,139
TOI-5788,1,139
HIP 94235,1,140
Kepler-10,1,141
Kepler-10,1,141
TOI-1695,1,143
TOI-2128,1,144
TOI-771,1,145
TOI-727,1,147
TOI-727,1,147
K2-174,1,148
TOI-7665,1,149
TOI-7665,1,149
TOI-6871,1,153
TOI-5169,1,154
HIP 113103,1,155
HIP 113103,1,155
TOI-2287,1,156
TOI-4185,1,158
Kepler-138,1,160
Kepler-138,1,160
Kepler-138,1,160
TOI-1643,1,163
TOI-1752,1,164
TOI-1752,1,164
TOI-2158,1,168
HD 118203,1,169
K2-18,1,191
GJ 9827,1,231
GJ 9827,1,231
GJ 9827,1,231
K2-25,1,374
HD 219134,1,560
HD 219134,1,560
Kepler-444,1,560
Kepler-444,1,560
Kepler-444,1,560
Kepler-444,1,560
Kepler-444,1,560
TOI-5388,1,560
