name,slctd,rank,name,slctd,rank,name,slctd,rank,diff,name,slctd,rank,diff
HD 63433,1,4,HD 63433,1,4,HD 63433,1,4,0,HD 63433,1,4,0
HD 63433,1,4,HD 63433,1,4,HD 63433,1,4,0,HD 63433,1,4,0
HD 63433,1,4,HD 63433,1,4,HD 63433,1,4,0,HD 63433,1,4,0
GJ 143,1,5,GJ 143,1,5,GJ 143,1,5,0,GJ 143,1,5,0
GJ 143,1,5,GJ 143,1,5,GJ 143,1,5,0,GJ 143,1,5,0
HD 95338,1,6,HD 95338,1,6,HD 95338,1,6,0,HD 95338,1,6,0
HD 60779,1,7,HD 60779,1,7,HD 60779,1,7,0,HD 60779,1,7,0
TOI-2443,1,11,TOI-1468,1,11,TOI-1468,1,11,1,TOI-1468,1,11,1
TOI-1468,1,12,TOI-1468,1,11,TOI-1468,1,11,1,TOI-1468,1,11,1
TOI-1468,1,12,TOI-2443,1,12,TOI-2443,1,12,-1,TOI-2443,1,12,-1
TOI-2134,1,14,TOI-2134,1,14,TOI-2134,1,14,0,TOI-2134,1,14,0
TOI-2134,1,14,TOI-2134,1,14,TOI-2134,1,14,0,TOI-2134,1,14,0
TOI-2194,1,16,TOI-2194,1,16,TOI-2194,1,16,0,TOI-2194,1,16,0
TOI-5789,1,18,TOI-5789,1,18,TOI-5789,1,18,0,TOI-5789,1,18,0
LP 791-18,1,19,TOI-6965,1,19,TOI-6965,1,19,1,TOI-6965,1,19,1
LP 791-18,1,19,TOI-6965,1,19,TOI-6965,1,19,1,TOI-6965,1,19,1
LP 791-18,1,19,HAT-P-20,1,20,HAT-P-20,1,20,1,HAT-P-20,1,20,1
TOI-6965,1,20,HD 110067,1,22,HD 110067,1,22,1,HD 110067,1,22,1
TOI-6965,1,20,HD 110067,1,22,HD 110067,1,22,1,HD 110067,1,22,1
HAT-P-20,1,21,HD 110067,1,22,HD 110067,1,22,1,HD 110067,1,22,1
HD 110067,1,23,HD 110067,1,22,HD 110067,1,22,1,HD 110067,1,22,1
HD 110067,1,23,HD 110067,1,22,HD 110067,1,22,1,HD 110067,1,22,1
HD 110067,1,23,HD 110067,1,22,HD 110067,1,22,1,HD 110067,1,22,1
HD 110067,1,23,HD 110067,1,22,HD 110067,1,22,1,HD 110067,1,22,1
HD 110067,1,23,HD 207496,1,24,HD 207496,1,24,1,HD 207496,1,24,1
HD 110067,1,23,TOI-1231,1,25,TOI-1231,1,25,1,TOI-1231,1,25,1
HD 110067,1,23,TOI-406,1,26,TOI-406,1,26,1,TOI-406,1,26,1
HD 207496,1,25,TOI-406,1,26,TOI-406,1,26,1,TOI-406,1,26,1
TOI-1231,1,26,TOI-406,1,26,TOI-406,1,26,1,TOI-406,1,26,1
TOI-406,1,27,TOI-1774,1,28,TOI-1774,1,28,1,TOI-1774,1,28,1
TOI-406,1,27,TOI-6973,1,30,TOI-6973,1,30,1,TOI-6973,1,30,1
TOI-406,1,27,TOI-1710,1,31,TOI-1710,1,31,1,TOI-1710,1,31,1
TOI-1774,1,29,HD 73344,1,32,HD 73344,1,32,1,HD 73344,1,32,1
HD 63935,1,30,HD 207897,1,33,HD 207897,1,33,1,HD 207897,1,33,1
HD 63935,1,30,HIP 9618,1,35,HIP 9618,1,35,0,HIP 9618,1,35,0
TOI-6973,1,31,HIP 9618,1,35,HIP 9618,1,35,0,HIP 9618,1,35,0
TOI-1710,1,32,TOI-1224,1,37,TOI-1224,1,37,1,TOI-1224,1,37,1
HD 73344,1,33,TOI-1224,1,37,TOI-1224,1,37,1,TOI-1224,1,37,1
HD 207897,1,34,TOI-712,1,40,TOI-712,1,40,0,TOI-712,1,40,0
HIP 9618,1,35,TOI-712,1,40,TOI-712,1,40,0,TOI-712,1,40,0
HIP 9618,1,35,TOI-712,1,40,TOI-712,1,40,0,TOI-712,1,40,0
TOI-1224,1,38,HR 858,1,41,HR 858,1,41,15,HR 858,1,41,15
TOI-1224,1,38,HR 858,1,41,HR 858,1,41,15,HR 858,1,41,15
HD 73583,1,39,HR 858,1,41,HR 858,1,41,15,HR 858,1,41,15
HD 73583,1,39,LTT 3780.00,1,42,LTT 3780.00,1,42,0,LTT 3780.00,1,42,0
TOI-712,1,40,LTT 3780.00,1,42,LTT 3780.00,1,42,0,LTT 3780.00,1,42,0
TOI-712,1,40,TOI-444,1,43,TOI-444,1,43,0,TOI-444,1,43,0
TOI-712,1,40,TOI-1203,1,45,TOI-1203,1,45,0,TOI-1203,1,45,0
LTT 3780.00,1,42,TOI-1898,1,46,TOI-1898,1,46,1,TOI-1898,1,46,1
LTT 3780.00,1,42,HD 18599,1,48,HD 18599,1,48,1,HD 18599,1,48,1
TOI-444,1,43,HD 135694,1,49,HD 135694,1,49,-1,HD 135694,1,49,-1
TOI-1203,1,45,HD 21520,1,50,HD 21520,1,50,0,HD 21520,1,50,0
TOI-1898,1,47,WASP-59,1,51,WASP-59,1,51,0,WASP-59,1,51,0
HD 135694,1,48,HD 5278,1,52,HD 5278,1,52,0,HD 5278,1,52,0
HD 18599,1,49,HD 22946,1,53,HD 22946,1,53,0,HD 22946,1,53,0
HD 21520,1,50,HD 22946,1,53,HD 22946,1,53,0,HD 22946,1,53,0
WASP-59,1,51,HD 22946,1,53,HD 22946,1,53,0,HD 22946,1,53,0
HD 5278,1,52,TOI-815,1,55,TOI-815,1,55,0,TOI-815,1,55,0
HD 22946,1,53,TOI-815,1,55,TOI-815,1,55,0,TOI-815,1,55,0
HD 22946,1,53,K2-72,1,56,K2-72,1,56,2,K2-72,1,56,2
HD 22946,1,53,K2-72,1,56,K2-72,1,56,2,K2-72,1,56,2
TOI-815,1,55,K2-72,1,56,K2-72,1,56,2,K2-72,1,56,2
TOI-815,1,55,K2-72,1,56,K2-72,1,56,2,K2-72,1,56,2
HR 858,1,56,TOI-5554,1,57,TOI-5554,1,57,2,TOI-5554,1,57,2
HR 858,1,56,TOI-1266,1,58,TOI-1266,1,58,6,TOI-1266,1,58,6
HR 858,1,56,TOI-1266,1,58,TOI-1266,1,58,6,TOI-1266,1,58,6
K2-72,1,58,TOI-2285,1,59,TOI-2285,1,59,2,TOI-2285,1,59,2
K2-72,1,58,TOI-2285,1,59,TOI-2285,1,59,2,TOI-2285,1,59,2
K2-72,1,58,TOI-700,1,60,TOI-700,1,60,3,TOI-700,1,60,3
K2-72,1,58,TOI-700,1,60,TOI-700,1,60,3,TOI-700,1,60,3
TOI-5554,1,59,TOI-700,1,60,TOI-700,1,60,3,TOI-700,1,60,3
TOI-1467,1,60,TOI-700,1,60,TOI-700,1,60,3,TOI-700,1,60,3
TOI-2285,1,61,TOI-4576,1,62,TOI-4576,1,62,3,TOI-4576,1,62,3
TOI-700,1,63,TOI-4632,1,63,TOI-4632,1,63,3,TOI-4632,1,63,3
TOI-700,1,63,TOI-1467,1,65,TOI-1467,1,65,-5,TOI-1467,1,65,-5
TOI-700,1,63,TOI-1434,1,66,TOI-1434,1,66,1,TOI-1434,1,66,1
TOI-700,1,63,Kepler-37,1,67,Kepler-37,1,67,1,Kepler-37,1,67,1
TOI-1266,1,64,Kepler-37,1,67,Kepler-37,1,67,1,Kepler-37,1,67,1
TOI-1266,1,64,Kepler-37,1,67,Kepler-37,1,67,1,Kepler-37,1,67,1
TOI-4576,1,65,Kepler-37,1,67,Kepler-37,1,67,1,Kepler-37,1,67,1
TOI-4632,1,66,Kepler-37,1,67,Kepler-37,1,67,1,Kepler-37,1,67,1
TOI-1434,1,67,HD 15906,1,69,HD 15906,1,69,2,HD 15906,1,69,2
Kepler-37,1,68,HD 15906,1,69,HD 15906,1,69,2,HD 15906,1,69,2
Kepler-37,1,68,TOI-7390,1,70,TOI-7390,1,70,,WASP-84,1,72,1
Kepler-37,1,68,WASP-84,1,73,WASP-84,1,73,0,WASP-84,1,72,1
Kepler-37,1,68,WASP-84,1,73,WASP-84,1,73,0,TOI-2094,1,74,1
Kepler-37,1,68,TOI-2094,1,75,TOI-2094,1,75,0,LP 714-47,1,75,1
HD 15906,1,71,LP 714-47,1,76,LP 714-47,1,76,0,TOI-2018,1,78,2
HD 15906,1,71,TOI-2018,1,79,TOI-2018,1,79,1,HD 235088,1,79,2
WASP-84,1,73,HD 235088,1,80,HD 235088,1,80,1,TOI-2095,1,80,2
WASP-84,1,73,TOI-2095,1,81,TOI-2095,1,81,1,TOI-2095,1,80,2
TOI-270,1,74,TOI-2095,1,81,TOI-2095,1,81,1,K2-3,1,82,2
TOI-270,1,74,K2-3,1,83,K2-3,1,83,1,K2-3,1,82,2
TOI-270,1,74,K2-3,1,83,K2-3,1,83,1,K2-3,1,82,2
TOI-2094,1,75,K2-3,1,83,K2-3,1,83,1,HD 17156,1,83,2
LP 714-47,1,76,HD 17156,1,84,HD 17156,1,84,1,TOI-1730,1,84,2
TOI-2015,1,77,TOI-1730,1,85,TOI-1730,1,85,1,TOI-1730,1,84,2
TOI-2018,1,80,TOI-1730,1,85,TOI-1730,1,85,1,TOI-1730,1,84,2
HD 235088,1,81,TOI-1730,1,85,TOI-1730,1,85,1,TOI-198,1,85,2
