Target Name,RA,RA Uncertainty,DEC,DEC Uncertainty,Reference Frame,Epoch,RA PM,RA PM units,DEC PM,DEC PM units,Annual Parallax,V-Magnitude,Mag Uncertainty,Other Fluxes,Category,Description,Radial Velocity,Comments
KELT-24,161.90979430216004,1.3699999726668466e-05,71.65587569608,1.3699999726668466e-05,ICRS,2000.0,-56.061,MAS/YR,-34.526,MAS/YR,0.010321799999999999,8.329999923706055,0.03,"G=8.25, NUV=12.97, FUV=18.23",STAR,"[F3-F9, Extra-solar Planetary System]",-5.63,Predicted Lya flux before ISM absorption 1.3e-13;FUV used for buffer time estimate 18.23;deemed INACTIVE on the basis of age > 1;stellar mass 1.27;stellar Teff 6426.00;GALEX fuv mag = 18.23;Rossby number unknown due to no cataloged rotation period;cataloged age of 2 Gyr
TOI-1266,197.99816682201998,1.1500000255182385e-05,65.83380640155,1.1500000255182385e-05,ICRS,2000.0,-150.557,MAS/YR,-25.339,MAS/YR,0.027739999999999997,12.951000213623047,0.049,"G=12.11, NUV=22.86",STAR,"[M V-IV, Extra-solar Planetary System]",-41.58,Predicted Lya flux before ISM absorption 2.2e-14;FUV used for buffer time estimate 29.21;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.44;stellar Teff 3563.00;no GALEX fuv observation;Rossby number estimate of 5.76 based on measured 44.6 d rotation period;cataloged age of 5 Gyr
TOI-1468,16.654064298290002,2.9599999834317714e-05,19.225878717610005,2.9599999834317714e-05,ICRS,2000.0,-42.067,MAS/YR,-222.79,MAS/YR,0.0404516,12.5,0.2,"G=12.10, NUV=18.65",STAR,"[M V-IV, Extra-solar Planetary System]",,Predicted Lya flux before ISM absorption 4.1e-13;FUV used for buffer time estimate 28.66;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.35;stellar Teff 3376.00;GALEX fuv mag > 21.68;Rossby number estimate of 5.75 based on measured 42.5 d rotation period;no cataloged age
TOI-1695,21.92072026551,1.0700000530050602e-05,72.29644065428,1.0700000530050602e-05,ICRS,2000.0,71.628,MAS/YR,40.45,MAS/YR,0.0222257,12.98900032043457,0.081,G=12.13,STAR,"[M V-IV, Extra-solar Planetary System]",-59.46196,Predicted Lya flux before ISM absorption 1.6e-14;FUV used for buffer time estimate 29.34;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.51;stellar Teff 3690.00;GALEX fuv mag > 21.02;Rossby number estimate of 5.85 based on measured 47.7 d rotation period;no cataloged age
TOI-1710,94.28275975625,7.699999514443334e-06,76.2107803864,7.699999514443334e-06,ICRS,2000.0,59.643,MAS/YR,55.668,MAS/YR,0.0123247,9.539999961853027,0.003,"G=9.37, NUV=15.33, FUV=20.61",STAR,"[G V-IV, Extra-solar Planetary System]",-39.4,Predicted Lya flux before ISM absorption 9.2e-14;FUV used for buffer time estimate 20.61;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 1.03;stellar Teff 5684.00;GALEX fuv mag = 20.61;Rossby number estimate of 1.57 based on measured 22.5 d rotation period;cataloged age of 2 Gyr
TOI-1801,175.57655806336,1.52000002344721e-05,23.026853401020002,1.52000002344721e-05,ICRS,2000.0,-204.891,MAS/YR,41.839,MAS/YR,0.0323697,11.40999984741211,0.1,"G=10.83, NUV=20.61",STAR,"[M V-IV, Extra-solar Planetary System]",-0.11,Predicted Lya flux before ISM absorption 1.0e-13;FUV used for buffer time estimate 25.68;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.56;stellar Teff 3863.00;GALEX fuv mag > 21.95;Rossby number estimate of 1.90 based on measured 16.0 d rotation period;cataloged age of 0.7 Gyr
TOI-2018,229.83813785949246,7.199999799922807e-06,29.206174273322773,7.199999799922807e-06,ICRS,2000.0,-141.017,MAS/YR,395.497,MAS/YR,0.0356664,10.211999893188477,0.03,"G=9.72, NUV=18.72, FUV=22.89",STAR,"[K V-IV, Extra-solar Planetary System]",-25.617,Predicted Lya flux before ISM absorption 1.1e-13;FUV used for buffer time estimate 22.89;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.57;stellar Teff 4174.00;GALEX fuv mag = 22.89;Rossby number estimate of 2.76 based on measured 23.5 d rotation period;no cataloged age
TOI-2095,285.63304399688,1.3299999409355223e-05,75.41860559854,1.3299999409355223e-05,ICRS,2000.0,203.466,MAS/YR,-21.401,MAS/YR,0.0238571,13.19,0.2,G=12.09,STAR,"[M V-IV, Extra-solar Planetary System]",-19.94,Predicted Lya flux before ISM absorption 2.0e-14;FUV used for buffer time estimate 29.35;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.44;stellar Teff 3759.00;no GALEX fuv observation;Rossby number estimate of 5.15 based on measured 40.0 d rotation period;cataloged age of 1 Gyr
TOI-2134,271.93519902873004,1.2999999853491317e-05,39.07414550787999,1.2999999853491317e-05,ICRS,2000.0,54.536,MAS/YR,-283.051,MAS/YR,0.0441087,8.933,0.003,"G=8.51, NUV=17.79",STAR,"[K V-IV, Extra-solar Planetary System]",-20.96,Predicted Lya flux before ISM absorption 1.7e-13;FUV used for buffer time estimate 25.59;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.74;stellar Teff 4580.00;GALEX fuv mag > 21.26;Rossby number estimate of 4.56 based on measured 45.8 d rotation period;cataloged age of 4 Gyr
TOI-2136,281.17652453529007,1.3799999578623101e-05,36.56236952657,1.3799999578623101e-05,ICRS,2000.0,-33.809,MAS/YR,177.053,MAS/YR,0.0299756,14.32,0.2,G=12.95,STAR,"[M V-IV, Extra-solar Planetary System]",-28.8,Predicted Lya flux before ISM absorption 2.0e-14;FUV used for buffer time estimate 31.57;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.34;stellar Teff 3342.00;no GALEX fuv observation;Rossby number estimate of 10.21 based on measured 75.0 d rotation period;cataloged age of 5 Gyr
TOI-244,10.570585612360002,1.9400000383029692e-05,-36.71817082717,1.9400000383029692e-05,ICRS,2000.0,-154.88,MAS/YR,45.632,MAS/YR,0.045299799999999994,12.692999839782715,0.069,"G=11.55, NUV=22.58",STAR,"[M V-IV, Extra-solar Planetary System]",15.141,Predicted Lya flux before ISM absorption 3.4e-14;FUV used for buffer time estimate 29.26;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.43;stellar Teff 3433.00;GALEX fuv mag > 22.00;Rossby number estimate of 6.92 based on measured 53.3 d rotation period;cataloged age of 7 Gyr
