name,tic_id,stage1_rank,GM,GL,EM,CM,lya,fuv,acq,Tacq,GMbuff,GLbuff,EMbuff,Mdwarf,lbl1,lbl2
GJ 143,279741379,6,1,,,,1,,F25ND3,0.7,21874.4,16014.0,47713.6,False,A1,N1
HD 110067,347332255,24,1,1,,,1,1,F25ND3,1.2,51508.1,36719.3,112998.0,False,A4,N4
HD 15906,4646810,80,1,1,,,1,1,F25ND3,6.5,42940.9,31303.9,95528.4,False,A6,N6
HD 183579,320004517,96,1,1,,,1,1,F25ND3,2.1,75316.9,56920.4,150506.2,False,A7,N7
HD 207496,290348383,27,1,1,,,1,1,F25ND3,0.9,11202.1,8166.3,24920.7,False,A9,N9
HD 207897,264678534,36,1,1,,,1,1,F25ND3,1.1,1545065.1,1101452.6,3389549.0,False,B0,O0
HD 235088,293954617,88,1,,,,1,,F25ND3,3.6,408617.8,291297.2,896421.9,False,B1,O1
HD 332231,199376584,115,1,,,,1,,F25ND3,2.7,747401.7,274846.4,730744.6,False,B2,O2
HIP 113103,121490076,155,1,1,,,1,1,F25ND3,7.9,25993.7,18949.4,57826.8,False,B4,O4
HIP 9618,306263608,38,1,1,,,1,1,F25ND3,4.4,169618.1,128188.0,338948.6,False,B5,O5
HR 858,178155732,46,1,,,,1,,F25ND3,0.2,91823.2,33766.7,89776.8,False,B6,O6
Kepler-37,164652245,78,1,,,,1,,F25ND3,7.9,485383.2,346022.1,1064829.0,False,B9,O9
LTT 3780,36724087,47,1,,,,1,,F28X50LP,0.2,36311707.3,28189853.0,74981493.7,True,C1,P1
TOI-1266,467179528,69,1,1,,,1,1,F28X50LP,0.1,6991307.7,5427559.1,14436630.3,True,C3,P3
TOI-1468,243185500,17,1,,,,1,,F28X50LP,0.1,4194105.8,3256008.4,8660576.4,True,C4,P4
TOI-1695,422756130,143,1,,,1,1,1,F28X50LP,0.3,20237580.4,15662810.0,41233774.2,True,C5,P5
TOI-1710,445805961,33,1,1,,,1,1,F25ND3,7.0,40555.1,30649.3,81041.4,False,C6,P6
TOI-1801,119584412,122,1,1,,,1,1,F25ND3,12.3,694749.3,537699.0,1415541.6,True,C8,P8
TOI-2018,357501308,90,1,1,,,1,1,F25ND3,7.6,105334.5,77114.5,229761.4,False,C9,P9
TOI-2095,235678745,91,1,,,,1,,F28X50LP,0.3,20355188.4,15753832.4,41473398.9,True,D0,Q0
TOI-2134,75878355,15,1,1,,,1,1,F25ND3,2.1,1259930.2,922384.9,2748229.8,False,D1,Q1
TOI-2136,336128819,133,1,,,,1,,F28X50LP,0.8,61256873.1,47555523.5,126491762.2,True,D2,Q2
TOI-244,118327550,178,1,1,,,1,1,F28X50LP,0.1,7315524.2,5679258.0,15106117.9,True,D4,Q4
TOI-2443,318753380,12,1,1,,,1,1,F25ND3,3.5,72603.7,53152.6,158367.2,False,D5,Q5
TOI-2459,192790476,111,1,1,,,1,1,F25ND3,15.6,75675.5,55401.4,165067.6,False,D6,Q6
TOI-257,200723869,128,1,1,,,1,1,F25ND3,0.7,432296.1,158970.7,422661.6,False,D7,Q7
HD 22946,100990000,61,1,,,,1,,F25ND3,1.8,553058.9,203379.5,540733.0,False,D8,Q8
TOI-444,179034327,49,1,1,,,1,1,F25ND3,9.4,44082.0,31425.4,96706.7,False,D9,Q9
TOI-620,296739893,129,1,,,1,1,1,F28X50LP,0.1,475690.8,368159.4,969213.1,True,E1,R1
TOI-700,150428135,72,1,,,,1,,F28X50LP,0.1,10916830.8,8475058.8,22542599.6,True,E2,R2
TOI-712,150151262,45,1,,,,1,,F28X50LP,0.1,740626.6,542206.9,1615496.1,False,E3,R3
Wolf 503,187278212,137,1,1,,,1,1,F25ND3,13.4,157976.9,115164.9,351442.7,False,E5,R5
TOI-1203,23434737,57,,1,,,,1,F25ND3,1.9,44610.1,33713.9,89144.6,False,E9,R9
HD 135694,232540264,58,1,1,,,1,1,F25ND3,3.7,114584.5,86596.7,228974.7,False,F0,S0
TOI-1434,138588540,68,1,1,,,1,1,F25ND3,2.4,156850.7,111816.4,344097.6,False,F1,S1
TOI-1451,417931607,119,1,1,,,1,1,F25ND3,7.4,145026.6,109603.1,289807.2,False,F2,S2
TOI-1643,298647682,163,1,1,,,1,1,F25ND3,4.0,26403.7,19248.2,58738.8,False,F3,S3
TOI-1648,376353509,184,1,1,,,1,1,F25ND3,16.5,202521.7,147637.9,450539.1,False,F4,S4
TOI-1718,257241363,114,1,1,,,1,1,F25ND3,2.6,6577.8,4689.2,14430.2,False,F5,S5
TOI-1730,318022259,55,1,,,1,1,1,F28X50LP,0.1,7077314.3,5477464.6,14419924.5,True,F6,S6
TOI-1742,219857012,117,1,,,,1,,F25ND3,4.1,79424.6,60024.7,158714.5,False,F7,S7
TOI-1898,91987762,51,1,,,,1,,F25ND3,1.0,143306.2,52698.8,140112.4,False,G1,T1
TOI-2128,21832928,144,1,1,,,1,1,F25ND3,0.4,6167.8,4661.2,12325.0,False,G3,T3
TOI-214,167415965,170,1,1,,,1,1,F25ND3,1.8,9161.3,6531.0,20098.0,False,G5,T5
TOI-286,150030205,121,1,,,,1,,F25ND3,9.1,5915532.1,4217090.0,12977438.1,False,G8,T8
TOI-4189,7422496,116,1,,,,1,,F25ND3,9.6,48852.0,36919.7,97621.2,False,H0,U0
TOI-4451,23229805,172,1,1,,,1,1,F25ND3,5.2,2817841.1,1036221.0,2755040.6,False,H2,U2
TOI-480,317548889,109,1,1,,,1,1,F25ND3,0.5,241395.4,88769.7,236015.5,False,H7,U7
TOI-5169,350023518,154,1,1,,,1,1,F25ND3,2.4,18238.6,13295.9,40574.3,False,H8,U8
TOI-5388,407591297,560,1,,,,1,,F28X50LP,0.1,3694.2,2867.9,7628.3,True,H9,U9
TOI-5734,9989136,30,1,1,,,1,1,F25ND3,5.3,17038.5,12421.0,37904.5,False,I1,V1
TOI-5789,87216634,18,1,1,,,1,1,F25ND3,0.3,36661.0,26135.1,80426.6,False,I2,V2
TOI-815,102840239,63,1,1,,,1,1,F25ND3,12.4,55004.4,40098.1,122365.3,False,I7,V7
TOI-904,261257684,105,1,1,,,1,1,F28X50LP,0.1,2197139.1,1700468.7,4476638.8,True,I9,V9
HD 60779,65672998,7,1,1,,,1,1,F25ND3,0.4,239294.2,87997.0,233961.1,False,J0,W0
HD 219134,283722336,560,,1,,,,1,F25ND3,0.1,2034.4,1483.1,4525.8,False,J1,W1
TOI-1774,4897275,43,,1,,,,1,F25ND3,1.2,34902.4,26377.3,69745.6,False,J3,W3
HIP 94235,464646604,140,,1,,,,1,F25ND3,1.9,52055.8,19142.8,50895.6,False,J5,W5
K2-18,388804061,191,,1,,,,1,F28X50LP,0.3,9765252.2,7581054.3,20164659.1,True,J6,W6
TOI-1231,447061717,28,,,,1,,1,F28X50LP,0.1,86372.1,67053.2,178353.1,True,J7,W7
HD 73344,175193677,34,1,1,,,1,1,F25ND3,0.3,144424.0,53109.9,141205.2,False,J9,W9
TOI-2194,271478281,16,1,1,,,1,1,F25ND3,1.1,19902.8,14509.1,44276.6,False,K1,X1
TOI-198,12421862,125,1,,,1,1,1,F28X50LP,0.1,7476777.9,5786628.1,15233825.6,True,K3,X3
HD 95338,304142124,8,1,1,,,1,1,F25ND3,1.6,113339.1,80797.7,248642.3,False,K4,X4
HD 5278,263003176,60,,,1,1,1,1,F25ND3,1.2,362312.3,133235.2,354237.5,False,K6,X6
HD 23472,425997655,134,1,,,,1,,F25ND3,6.2,30223.1,22126.1,65924.2,False,K7,X7
HD 18599,207141131,53,1,1,,,1,1,F25ND3,2.7,41161.6,29343.5,90299.9,False,K8,X8
HAT-P-20,26826078,22,,1,,,,1,F28X50LP,0.1,1451978.1,1062981.7,3167135.5,False,L0,Y0
HD 17156,302773669,94,1,,,,1,,F25ND3,1.5,469498.5,172651.4,459034.9,False,L2,Y2
TOI-6965,80224448,21,1,1,,,1,1,F25ND3,0.2,6804.9,2502.4,6653.3,False,L6,Y6
TOI-406,153065527,29,1,,,,1,,F28X50LP,0.4,6463.1,5017.5,13345.8,True,L7,Y7
TOI-6973,427765233,32,1,,,,1,,F25ND3,5.8,6262.2,4732.6,12513.7,False,L8,Y8
TOI-1224,299798795,41,,,1,1,1,1,F28X50LP,0.5,2202.3,1709.7,4547.6,True,L9,Y9
HD 21520,404518509,59,1,1,,,1,1,F25ND3,6.1,102603.8,77542.3,205033.5,False,M0,Z0
WASP-59,91051152,35,1,,,,1,,F28X50LP,0.9,47553.7,34813.7,103726.8,False,M1,Z1
K2-72,38337202,66,,,1,,1,,F28X50LP,2.2,80975.2,62863.5,167209.0,True,M2,Z2
TOI-5554,91287873,67,1,1,,,1,1,F28X50LP,0.1,13687.4,10593.3,27887.8,False,M3,Z3
TOI-1467,240968774,77,1,,,1,1,1,F28X50LP,0.1,256675.9,198653.4,522973.3,True,M4,Z4
TOI-2285,329148988,70,1,1,,,1,1,F28X50LP,0.2,7087.5,5502.2,14635.3,True,M5,Z5
TOI-4576,157667414,74,1,1,,,1,1,F28X50LP,0.1,1502.5,1100.0,3277.4,False,M6,Z6
TOI-4632,336075472,75,1,,,,1,,F28X50LP,0.1,26345.4,19287.3,57466.1,False,M7,Z7
WASP-84,350293646,84,1,1,,,1,1,F25ND3,34.3,436928.0,311479.1,958528.4,False,M8,Z8
TOI-2094,356016119,64,,,1,,1,,F28X50LP,0.9,17341.5,13462.7,35809.2,True,M9,Z9
LP 714-47,70899085,85,1,,,1,1,1,F28X50LP,0.1,6982716.3,5404250.8,14227182.4,True,AA,NA
