Target Name,Other Fluxes,Comments
GJ143,"G=7.69, NUV=16.38",Predicted Lya flux before ISM absorption 2.8e-13;FUV used for buffer time estimate 21.19;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.73;stellar Teff 4640.00;GALEX fuv mag > 20.87;Rossby number unknown due to no cataloged rotation period;cataloged age of 4 Gyr
HD110067,"G=8.18, NUV=14.72, FUV=21.20",Predicted Lya flux before ISM absorption 2.0e-13;FUV used for buffer time estimate 21.20;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.88;stellar Teff 5297.00;GALEX fuv mag = 21.20;Rossby number unknown due to no cataloged rotation period;no cataloged age
HD15906,"G=9.48, NUV=17.35",Predicted Lya flux before ISM absorption 4.2e-14;FUV used for buffer time estimate 21.98;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.79;stellar Teff 4757.00;GALEX fuv mag > 21.98;Rossby number unknown due to no cataloged rotation period;no cataloged age
HD183579,"G=8.53, NUV=14.06, FUV=21.28",Predicted Lya flux before ISM absorption 1.9e-13;FUV used for buffer time estimate 21.28;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 1.00;stellar Teff 5784.00;GALEX fuv mag = 21.28;Rossby number estimate of 1.81 based on measured 24.8 d rotation period;cataloged age of 3 Gyr
HD207496,"G=7.98, NUV=15.82, FUV=20.52",Predicted Lya flux before ISM absorption 7.8e-13;FUV used for buffer time estimate 20.52;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.80;stellar Teff 4819.00;GALEX fuv mag = 20.52;Rossby number estimate of 1.16 based on measured 12.4 d rotation period;cataloged age of 0.5 Gyr
HD207897,"G=8.14, NUV=15.34",Predicted Lya flux before ISM absorption 1.9e-13;FUV used for buffer time estimate 24.89;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.82;stellar Teff 5106.00;GALEX fuv mag > 21.52;Rossby number estimate of 3.38 based on measured 37.0 d rotation period;cataloged age of 5 Gyr
HD235088,"G=8.95, NUV=16.11",Predicted Lya flux before ISM absorption 2.8e-13;FUV used for buffer time estimate 23.45;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.85;stellar Teff 5075.00;no GALEX fuv observation;Rossby number estimate of 1.08 based on measured 12.2 d rotation period;cataloged age of 0.7 Gyr
HD332231,G=8.43,Predicted Lya flux before ISM absorption 1.1e-13;FUV used for buffer time estimate 19.75;deemed INACTIVE on the basis of age > 1;stellar mass 1.16;stellar Teff 6128.00;no GALEX fuv observation;Rossby number unknown due to no cataloged rotation period;cataloged age of 3 Gyr
HIP113103,"G=9.62, NUV=17.40, FUV=21.43",Predicted Lya flux before ISM absorption 2.7e-13;FUV used for buffer time estimate 21.43;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.76;stellar Teff 4930.00;GALEX fuv mag = 21.43;Rossby number estimate of 0.97 based on measured 9.9 d rotation period;cataloged age of 0.5 Gyr
HIP9618,"G=9.03, NUV=14.86, FUV=22.16",Predicted Lya flux before ISM absorption 7.7e-14;FUV used for buffer time estimate 22.16;deemed INACTIVE on the basis of age > 1;stellar mass 0.94;stellar Teff 5649.00;GALEX fuv mag = 22.16;Rossby number unknown due to no cataloged rotation period;cataloged age of 6 Gyr
HR858,"G=6.26, NUV=13.83, FUV=17.47",Predicted Lya flux before ISM absorption 1.1e-12;FUV used for buffer time estimate 17.47;deemed ACTIVE on the basis of Rossby number <= 0.5;stellar mass 1.20;stellar Teff 6354.00;GALEX fuv mag = 17.47;Rossby number estimate of 0.35 based on measured 6.7 d rotation period;cataloged age of 2 Gyr
KELT-24,"G=8.25, NUV=12.97, FUV=18.23",Predicted Lya flux before ISM absorption 1.3e-13;FUV used for buffer time estimate 18.23;deemed INACTIVE on the basis of age > 1;stellar mass 1.27;stellar Teff 6426.00;GALEX fuv mag = 18.23;Rossby number unknown due to no cataloged rotation period;cataloged age of 2 Gyr
KEPLER-37,"G=9.56, NUV=15.62",Predicted Lya flux before ISM absorption 5.5e-14;FUV used for buffer time estimate 23.63;deemed INACTIVE on the basis of age > 1;stellar mass 0.79;stellar Teff 5357.00;GALEX fuv mag > 21.39;Rossby number unknown due to no cataloged rotation period;cataloged age of 8 Gyr
